"MetaboliteName","FBOnto","HMDB","KEGG","ChEBI","PubChem_CID","InChIKey","InChI_Code","ChemSpider"
"3'-methylcatechin 5-glucuronide","FB_08567",NA,NA,NA,NA,"WMVRRRYTJXAVND-CNDVCMBASA-N","InChI=1S/C22H24O12/c1-31-15-4-8(2-3-11(15)24)19-12(25)7-10-13(32-19)5-9(23)6-14(10)33-22-18(28)16(26)17(27)20(34-22)21(29)30/h2-6,12,16-20,22-28H,7H2,1H3,(H,29,30)/t12-,16-,17-,18+,19+,20-,22+/m0/s1",NA
"3'-methylepicatechin","FB_030473",NA,NA,NA,NA,"BBDWMQGDVLQOSW-UHFFFAOYSA-N","InChI=1S/C16H16O6/c1-16(21)7-10-12(19)5-9(17)6-14(10)22-15(16)8-2-3-11(18)13(20)4-8/h2-6,15,17-21H,7H2,1H3",NA
"3'-methylepicatechin 4'-glucuronide","FB_08568",NA,NA,NA,NA,"OQBMUBCLLAWJHJ-FDRKUGEKSA-N","InChI=1S/C22H24O12/c1-31-15-4-8(19-12(25)7-10-11(24)5-9(23)6-14(10)32-19)2-3-13(15)33-22-18(28)16(26)17(27)20(34-22)21(29)30/h2-6,12,16-20,22-28H,7H2,1H3,(H,29,30)/t12-,16+,17+,18-,19-,20+,22-/m1/s1",NA
"3'-methylepicatechin 4'-sulfate","FB_08683",NA,NA,NA,"71260093","QGMVQGQNIUVPMC-MLGOLLRUSA-N","InChI=1S/C16H16O9S/c1-23-15-4-8(2-3-13(15)25-26(20,21)22)16-12(19)7-10-11(18)5-9(17)6-14(10)24-16/h2-6,12,16-19H,7H2,1H3,(H,20,21,22)/t12-,16-/m1/s1",NA
"3'-methylepicatechin 5-glucuronide","FB_08569",NA,NA,NA,NA,"WMVRRRYTJXAVND-FDRKUGEKSA-N","InChI=1S/C22H24O12/c1-31-15-4-8(2-3-11(15)24)19-12(25)7-10-13(32-19)5-9(23)6-14(10)33-22-18(28)16(26)17(27)20(34-22)21(29)30/h2-6,12,16-20,22-28H,7H2,1H3,(H,29,30)/t12-,16+,17+,18-,19-,20+,22-/m1/s1",NA
"3'-methylepicatechin 5-sulfate","FB_08684",NA,NA,NA,NA,"ZFUHNDPCTCXKQO-MLGOLLRUSA-N","InChI=1S/C16H16O9S/c1-23-15-4-8(2-3-11(15)18)16-12(19)7-10-13(24-16)5-9(17)6-14(10)25-26(20,21)22/h2-6,12,16-19H,7H2,1H3,(H,20,21,22)/t12-,16-/m1/s1",NA
"3'-methylepicatechin 7-glucuronide","FB_08642",NA,NA,NA,"101190386","MZJSKSYVZZIYPF-ZRRVXMDUSA-N","InChI=1S/C22H24O12/c1-31-15-4-8(2-3-11(15)23)19-13(25)7-10-12(24)5-9(6-14(10)33-19)32-22-18(28)16(26)17(27)20(34-22)21(29)30/h2-6,13,16-20,22-28H,7H2,1H3,(H,29,30)/t13-,16+,17+,18-,19-,20+,22-/m1/s1",NA
"3'-methylepicatechin 7-sulfate","FB_08685",NA,NA,NA,NA,"RIKCESGMRQZLKQ-CZUORRHYSA-N","InChI=1S/C16H16O9S/c1-23-15-4-8(2-3-11(15)17)16-13(19)7-10-12(18)5-9(6-14(10)24-16)25-26(20,21)22/h2-6,13,16-19H,7H2,1H3,(H,20,21,22)/t13-,16-/m1/s1",NA
"3-methylgallic acid","FB_030358",NA,"C05616","CHEBI:28647","19829","KWCCUYSXAYTNKA-UHFFFAOYSA-N","InChI=1S/C8H8O5/c1-13-6-3-4(8(11)12)2-5(9)7(6)10/h2-3,9-10H,1H3,(H,11,12)",NA
"3-methylgallic acid 4-glucuronide","FB_08689",NA,NA,NA,NA,"XFEXVGIHNGUIFM-UHFFFAOYSA-N","InChI=1S/C14H16O11/c1-23-6-3-4(12(19)20)2-5(15)10(6)24-14-9(18)7(16)8(17)11(25-14)13(21)22/h2-3,7-9,11,14-18H,1H3,(H,19,20)(H,21,22)",NA
"3-methylgallic acid 4-sulfate","FB_08692",NA,NA,NA,NA,"QUGZPKOJDPDIDP-UHFFFAOYSA-N","InChI=1S/C8H8O8S/c1-15-6-3-4(8(10)11)2-5(9)7(6)16-17(12,13)14/h2-3,9H,1H3,(H,10,11)(H,12,13,14)",NA
"3-methylgallic acid 5-glucuronide","FB_08690",NA,NA,NA,NA,"ILWDNUVZYSRINE-UHFFFAOYSA-N","InChI=1S/C14H16O11/c1-23-5-2-4(12(19)20)3-6(7(5)15)24-14-10(18)8(16)9(17)11(25-14)13(21)22/h2-3,8-11,14-18H,1H3,(H,19,20)(H,21,22)",NA
"3-methylgallic acid 5-sulfate","FB_08693",NA,NA,NA,NA,NA,NA,NA
"3-methylhistidine","FB_030690","HMDB00479","C01152","CHEBI:27596","64969 | 6971061","JDHILDINMRGULE-LURJTMIESA-N","InChI=1S/C7H11N3O2/c1-10-4-9-3-5(10)2-6(8)7(11)12/h3-4,6H,2,8H2,1H3,(H,11,12)/t6-/m0/s1","58494"
"3-methyluric acid","FB_030660","HMDB01970",NA,NA,"11804","ODCYDGXXCHTFIR-UHFFFAOYSA-N","InChI=1S/C6H6N4O3/c1-10-3-2(7-5(12)8-3)4(11)9-6(10)13/h1H3,(H2,7,8,12)(H,9,11,13)",NA
"3-methylxanthine","FB_030653","HMDB01886","C16357","CHEBI:62207 | CHEBI:62208","70639","GMSNIKWWOQHZGF-UHFFFAOYSA-N","InChI=1S/C6H6N4O2/c1-10-4-3(7-2-8-4)5(11)9-6(10)12/h2H,1H3,(H,7,8)(H,9,11,12)","11181189 | 63805"
"4,5-dicaffeoylquinic acid","FB_030402",NA,NA,NA,"6474309","UFCLZKMFXSILNL-RVXRWRFUSA-N","InChI=1S/C25H24O12/c26-15-5-1-13(9-17(15)28)3-7-21(31)36-20-12-25(35,24(33)34)11-19(30)23(20)37-22(32)8-4-14-2-6-16(27)18(29)10-14/h1-10,19-20,23,26-30,35H,11-12H2,(H,33,34)/b7-3+,8-4+/t19-,20-,23+,25-/m1/s1","4976335"
"4-caffeoylquinic acid","FB_030398",NA,NA,NA,"9798666","GYFFKZTYYAFCTR-AVXJPILUSA-N","InChI=1S/C16H18O9/c17-9-3-1-8(5-10(9)18)2-4-13(21)25-14-11(19)6-16(24,15(22)23)7-12(14)20/h1-5,11-12,14,17-20,24H,6-7H2,(H,22,23)/b4-2+/t11-,12-,14?,16?/m1/s1",NA
"4-feruloylquinic acid","FB_030404",NA,NA,NA,"10177048","VTMFDSJJVNQXLT-XQCMRRNBSA-N","InChI=1S/C17H20O9/c1-25-13-6-9(2-4-10(13)18)3-5-14(21)26-15-11(19)7-17(24,16(22)23)8-12(15)20/h2-6,11-12,15,18-20,24H,7-8H2,1H3,(H,22,23)/b5-3+/t11-,12-,15?,17?/m1/s1","8352553"
"4-hydroxy-5-(3',4'-dihydroxyphenyl)-valeric acid","FB_030492",NA,NA,NA,"52920332","JDBYFCLHVYVXCX-UHFFFAOYSA-N","InChI=1S/C11H14O5/c12-8(2-4-11(15)16)5-7-1-3-9(13)10(14)6-7/h1,3,6,8,12-14H,2,4-5H2,(H,15,16)",NA
"4-hydroxy-5-(3',4'-dihydroxyphenyl)-valeric acid 3'-glucuronide","FB_030493",NA,NA,NA,NA,"BKJQCPDRWDNBIN-UHFFFAOYSA-N","InChI=1S/C17H22O11/c18-8(2-4-11(20)21)5-7-1-3-9(19)10(6-7)27-17-14(24)12(22)13(23)15(28-17)16(25)26/h1,3,6,8,12-15,17-19,22-24H,2,4-5H2,(H,20,21)(H,25,26)",NA
"4-hydroxy-5-(3',4'-dihydroxyphenyl)-valeric acid 3'-sulfate","FB_030495",NA,NA,NA,NA,"HROSNTXKMPHTSL-UHFFFAOYSA-N","InChI=1S/C11H14O8S/c12-8(2-4-11(14)15)5-7-1-3-9(13)10(6-7)19-20(16,17)18/h1,3,6,8,12-13H,2,4-5H2,(H,14,15)(H,16,17,18)",NA
"4-hydroxy-5-(3',4'-dihydroxyphenyl)-valeric acid 4'-glucuronide","FB_030494",NA,NA,NA,NA,"LLKUARGHNZMSRT-UHFFFAOYSA-N","InChI=1S/C17H22O11/c18-8(2-4-11(20)21)5-7-1-3-10(9(19)6-7)27-17-14(24)12(22)13(23)15(28-17)16(25)26/h1,3,6,8,12-15,17-19,22-24H,2,4-5H2,(H,20,21)(H,25,26)",NA
"4-hydroxy-5-(3',4'-dihydroxyphenyl)-valeric acid 4'-sulfate","FB_030496",NA,NA,NA,NA,NA,NA,NA
"4-hydroxybenzaldehyde","FB_030454","HMDB11718","C00633","CHEBI:17597","126","RGHHSNMVTDWUBI-UHFFFAOYSA-N","InChI=1S/C7H6O2/c8-5-6-1-3-7(9)4-2-6/h1-5,9H","123 | 16234504"
"4-hydroxybenzoic acid","FB_030320","HMDB00500","C00156","CHEBI:30763 | CHEBI:79323","135 | 3702506","FJKROLUGYXJWQN-UHFFFAOYSA-N","InChI=1S/C7H6O3/c8-6-3-1-5(2-4-6)7(9)10/h1-4,8H,(H,9,10)","10732368 | 132 | 15957696"
"4-hydroxybenzoic acid glucuronide","FB_030323",NA,NA,NA,NA,"DKNOHNCMCYDVLT-UHFFFAOYSA-N","InChI=1S/C13H14O9/c14-7-8(15)10(12(19)20)22-13(9(7)16)21-6-3-1-5(2-4-6)11(17)18/h1-4,7-10,13-16H,(H,17,18)(H,19,20)",NA
"4-hydroxybenzoic acid sulfate","FB_030326",NA,NA,NA,"18690341","RJTYSXVYCZAUHE-UHFFFAOYSA-N","InChI=1S/C7H6O6S/c8-7(9)5-1-3-6(4-2-5)13-14(10,11)12/h1-4H,(H,8,9)(H,10,11,12)",NA
"4-hydroxyhippuric acid","FB_030341",NA,NA,"CHEBI:71018","151012","ZMHLUFWWWPBTIU-UHFFFAOYSA-N","InChI=1S/C9H9NO4/c11-7-3-1-6(2-4-7)9(14)10-5-8(12)13/h1-4,11H,5H2,(H,10,14)(H,12,13)","133104"
"4-hydroxyphenylacetic acid","FB_030370","HMDB00020","C00642","CHEBI:18101","127","XQXPVVBIMDBYFF-UHFFFAOYSA-N","InChI=1S/C8H8O3/c9-7-3-1-6(2-4-7)5-8(10)11/h1-4,9H,5H2,(H,10,11)","124 | 14485716"
"4-hydroxyphenylacetic acid glucuronide","FB_030373",NA,NA,NA,NA,"DPTGYOOHBJLCOL-UHFFFAOYSA-N","InChI=1S/C14H16O9/c15-8(16)5-6-1-3-7(4-2-6)22-14-11(19)9(17)10(18)12(23-14)13(20)21/h1-4,9-12,14,17-19H,5H2,(H,15,16)(H,20,21)",NA
"4-hydroxyphenylacetic acid sulfate","FB_030376",NA,NA,NA,NA,"IIODELUADFSHIZ-UHFFFAOYSA-N","InChI=1S/C8H8O6S/c9-8(10)5-6-1-3-7(4-2-6)14-15(11,12)13/h1-4H,5H2,(H,9,10)(H,11,12,13)",NA
"4-hydroxyproline betaine","FB_030686",NA,"C08269","CHEBI:81 | CHEBI:85533","164642","MUNWAHDYFVYIKH-RITPCOANSA-N","InChI=1S/C7H13NO3/c1-8(2)4-5(9)3-6(8)7(10)11/h5-6,9H,3-4H2,1-2H3/t5-,6+/m1/s1","144333"
"4-methylcatechol","FB_030447","HMDB00873","C06730","CHEBI:17254","9958","ZBCATMYQYDCTIZ-UHFFFAOYSA-N","InChI=1S/C7H8O2/c1-5-2-3-6(8)7(9)4-5/h2-4,8-9H,1H3","13200746"
"4-methylcatechol 1-glucuronide","FB_030448",NA,NA,NA,NA,NA,NA,NA
"4-methylcatechol 1-sulfate","FB_030450",NA,NA,NA,"54104170","NCOMUGOPQPRVSE-UHFFFAOYSA-N","InChI=1S/C7H8O5S/c1-5-2-3-7(6(8)4-5)12-13(9,10)11/h2-4,8H,1H3,(H,9,10,11)",NA
"4-methylcatechol 2-glucuronide","FB_030449",NA,NA,NA,"189501","UQDOAPRFPPMAOO-XPORZQOISA-N","InChI=1S/C13H16O8/c1-5-2-3-6(14)7(4-5)20-13-10(17)8(15)9(16)11(21-13)12(18)19/h2-4,8-11,13-17H,1H3,(H,18,19)/t8-,9-,10+,11-,13+/m0/s1",NA
"4-methylcatechol 2-sulfate","FB_030451",NA,NA,NA,NA,"CMEBXVIUEVCAFK-UHFFFAOYSA-N","InChI=1S/C7H8O5S/c1-5-2-3-6(8)7(4-5)12-13(9,10)11/h2-4,8H,1H3,(H,9,10,11)",NA
"4'-methylepicatechin","FB_030472",NA,NA,NA,"14332898","ZHDMPVIDHWJGTN-CZUORRHYSA-N","InChI=1S/C16H16O6/c1-21-14-3-2-8(4-12(14)19)16-13(20)7-10-11(18)5-9(17)6-15(10)22-16/h2-6,13,16-20H,7H2,1H3/t13-,16-/m1/s1",NA
"4'-methylepicatechin 3'-glucuronide","FB_08643",NA,NA,NA,"101244286","PSOMCIRLFFROES-FDRKUGEKSA-N","InChI=1S/C22H24O12/c1-31-13-3-2-8(19-12(25)7-10-11(24)5-9(23)6-14(10)32-19)4-15(13)33-22-18(28)16(26)17(27)20(34-22)21(29)30/h2-6,12,16-20,22-28H,7H2,1H3,(H,29,30)/t12-,16+,17+,18-,19-,20+,22-/m1/s1",NA
"4'-methylepicatechin 3'-sulfate","FB_08686",NA,NA,NA,NA,"PCLCJMJFLFTHDU-MLGOLLRUSA-N","InChI=1S/C16H16O9S/c1-23-13-3-2-8(4-15(13)25-26(20,21)22)16-12(19)7-10-11(18)5-9(17)6-14(10)24-16/h2-6,12,16-19H,7H2,1H3,(H,20,21,22)/t12-,16-/m1/s1",NA
"4'-methylepicatechin 5-glucuronide","FB_08644",NA,NA,NA,NA,"FJHGPEXCGXLNNU-FDRKUGEKSA-N","InChI=1S/C22H24O12/c1-31-13-3-2-8(4-11(13)24)19-12(25)7-10-14(32-19)5-9(23)6-15(10)33-22-18(28)16(26)17(27)20(34-22)21(29)30/h2-6,12,16-20,22-28H,7H2,1H3,(H,29,30)/t12-,16+,17+,18-,19-,20+,22-/m1/s1",NA
"4'-methylepicatechin 5-sulfate","FB_08687",NA,NA,NA,"71579213","JSNCQMRECHVQQQ-MLGOLLRUSA-N","InChI=1S/C16H16O9S/c1-23-13-3-2-8(4-11(13)18)16-12(19)7-10-14(24-16)5-9(17)6-15(10)25-26(20,21)22/h2-6,12,16-19H,7H2,1H3,(H,20,21,22)/t12-,16-/m1/s1",NA
"4'-methylepicatechin 7-glucuronide","FB_08645",NA,NA,NA,NA,"CJPIUMOCTBARLM-ZRRVXMDUSA-N","nChI=1S/C22H24O12/c1-31-14-3-2-8(4-12(14)24)19-13(25)7-10-11(23)5-9(6-15(10)33-19)32-22-18(28)16(26)17(27)20(34-22)21(29)30/h2-6,13,16-20,22-28H,7H2,1H3,(H,29,30)/t13-,16+,17+,18-,19-,20+,22-/m1/s1",NA
"4'-methylepicatechin 7-sulfate","FB_08688",NA,NA,NA,NA,"NCEYJABYRYYGNC-CZUORRHYSA-N","InChI=1S/C16H16O9S/c1-23-14-3-2-8(4-12(14)18)16-13(19)7-10-11(17)5-9(6-15(10)24-16)25-26(20,21)22/h2-6,13,16-19H,7H2,1H3,(H,20,21,22)/t13-,16-/m1/s1",NA
"4-methylgallic acid","FB_030357","HMDB13198",NA,NA,"78016","UBXDWYFLYYJQFR-UHFFFAOYSA-N","InChI=1S/C8H8O5/c1-13-7-5(9)2-4(8(11)12)3-6(7)10/h2-3,9-10H,1H3,(H,11,12)","70398"
"4-methylgallic acid 3-glucuronide","FB_08691",NA,NA,NA,NA,NA,NA,NA
"4-methylgallic acid 3-sulfate","FB_08694",NA,NA,NA,"10825483","LMJIEJLSDJBABY-UHFFFAOYSA-N","InChI=1S/C8H8O8S/c1-15-7-5(9)2-4(8(10)11)3-6(7)16-17(12,13)14/h2-3,9H,1H3,(H,10,11)(H,12,13,14)","9000783"
"4-methylumbelliferone glucuronide","FB_030528",NA,"C11584","CHEBI:1904","91553","ARQXEQLMMNGFDU-JHZZJYKESA-N","InChI=1S/C16H16O9/c1-6-4-10(17)24-9-5-7(2-3-8(6)9)23-16-13(20)11(18)12(19)14(25-16)15(21)22/h2-5,11-14,16,18-20H,1H3,(H,21,22)/t11-,12-,13+,14-,16+/m0/s1","82667"
"4-methylumbelliferone sulfate","FB_030529",NA,"C11585","CHEBI:1905","84843","FUYLLJCBCKRIAL-UHFFFAOYSA-N","InChI=1S/C10H8O6S/c1-6-4-10(11)15-9-5-7(2-3-8(6)9)16-17(12,13)14/h2-5H,1H3,(H,12,13,14)","76536"
"5-(3',4',5'-trihydroxyphenyl)-γ-valerolactone","FB_030506",NA,NA,NA,"44389277","CZVAQLJEUUFQCH-UHFFFAOYSA-N","InChI=1S/C11H12O5/c12-8-4-6(5-9(13)11(8)15)3-7-1-2-10(14)16-7/h4-5,7,12-13,15H,1-3H2",NA
"5-(3',4',5'-trihydroxyphenyl)-γ-valerolactone 3'-glucuronide","FB_030507",NA,NA,NA,NA,"VQHXMQYHVVQQFP-CXWHQSFFSA-N","InChI=1S/C17H20O11/c18-8-4-6(3-7-1-2-10(19)26-7)5-9(11(8)20)27-17-14(23)12(21)13(22)15(28-17)16(24)25/h4-5,7,12-15,17-18,20-23H,1-3H2,(H,24,25)/t7?,12-,13-,14+,15-,17?/m0/s1",NA
"5-(3',4',5'-trihydroxyphenyl)-γ-valerolactone 3'-sulfate","FB_030509",NA,NA,NA,NA,"OMISYDASOKPVDK-UHFFFAOYSA-N","InChI=1S/C11H12O8S/c12-8-4-6(3-7-1-2-10(13)18-7)5-9(11(8)14)19-20(15,16)17/h4-5,7,12,14H,1-3H2,(H,15,16,17)",NA
"5-(3',4',5'-trihydroxyphenyl)-γ-valerolactone 4'-glucuronide","FB_030508",NA,NA,NA,NA,"ATYNVCXMADLPJQ-YSVLGHOVSA-N","InChI=1S/C17H20O11/c18-8-4-6(3-7-1-2-10(20)26-7)5-9(19)14(8)27-17-13(23)11(21)12(22)15(28-17)16(24)25/h4-5,7,11-13,15,17-19,21-23H,1-3H2,(H,24,25)/t7?,11-,12-,13+,15-,17+/m0/s1",NA
"5-(3',4',5'-trihydroxyphenyl)-γ-valerolactone 4'-sulfate","FB_030510",NA,NA,NA,NA,"NPIMUIQBYBJSBB-UHFFFAOYSA-N","InChI=1S/C11H12O8S/c12-8-4-6(3-7-1-2-10(14)18-7)5-9(13)11(8)19-20(15,16)17/h4-5,7,12-13H,1-3H2,(H,15,16,17)",NA
"5-(3',4'-dihydroxyphenyl)-γ-valerolactone","FB_030500",NA,NA,NA,"152432","ZNXXWTPQHVLMQT-UHFFFAOYSA-N","InChI=1S/C11H12O4/c12-9-3-1-7(6-10(9)13)5-8-2-4-11(14)15-8/h1,3,6,8,12-13H,2,4-5H2","134347"
"5-(3',4'-dihydroxyphenyl)-γ-valerolactone 3'-glucuronide","FB_030501",NA,NA,NA,NA,"RALBOGKBFZBDKY-UHFFFAOYSA-N","InChI=1S/C18H22O10/c19-9-3-1-7(5-8-2-4-11(20)27-8)6-10(9)28-17-12(18(25)26)13(21)14(22)15(23)16(17)24/h1,3,6,8,12-17,19,21-24H,2,4-5H2,(H,25,26)",NA
"5-(3',4'-dihydroxyphenyl)-γ-valerolactone 3'-sulfate","FB_030503",NA,NA,NA,NA,"YAXFVDUJDAQPTJ-UHFFFAOYSA-N","InChI=1S/C11H12O7S/c12-9-3-1-7(5-8-2-4-11(13)17-8)6-10(9)18-19(14,15)16/h1,3,6,8,12H,2,4-5H2,(H,14,15,16)",NA
"5-(3',4'-dihydroxyphenyl)-γ-valerolactone 4'-glucuronide","FB_030502",NA,NA,NA,"124202077","OTBJYBQGMPICIK-GHPVWUPISA-N","InChI=1S/C17H20O10/c18-9-6-7(5-8-2-4-11(19)25-8)1-3-10(9)26-17-14(22)12(20)13(21)15(27-17)16(23)24/h1,3,6,8,12-15,17-18,20-22H,2,4-5H2,(H,23,24)/t8?,12-,13-,14+,15-,17+/m1/s1",NA
"5-(3',4'-dihydroxyphenyl)-γ-valerolactone 4'-sulfate","FB_08664",NA,NA,NA,NA,"WAXYAOJFDCCESK-UHFFFAOYSA-N","InChI=1S/C11H12O7S/c12-9-6-7(5-8-2-4-11(13)17-8)1-3-10(9)18-19(14,15)16/h1,3,6,8,12H,2,4-5H2,(H,14,15,16)",NA
"5-(3',5'-dihydroxyphenyl)-γ-valerolactone","FB_08665",NA,NA,NA,"52920453","WAKFBGOXOFLZLZ-UHFFFAOYSA-N","InChI=1S/C11H12O4/c12-8-3-7(4-9(13)6-8)5-10-1-2-11(14)15-10/h3-4,6,10,12-13H,1-2,5H2",NA
"5-(3',5'-dihydroxyphenyl)-γ-valerolactone glucuronide","FB_030504",NA,NA,NA,"124202085","RUSMDDXSDLDLKU-PHPHFFAHSA-N","InChI=1S/C17H20O10/c18-8-3-7(4-9-1-2-11(19)25-9)5-10(6-8)26-17-14(22)12(20)13(21)15(27-17)16(23)24/h3,5-6,9,12-15,17-18,20-22H,1-2,4H2,(H,23,24)/t9?,12-,13-,14+,15-,17+/m0/s1",NA
"5-(3',5'-dihydroxyphenyl)-γ-valerolactone sulfate","FB_030505",NA,NA,NA,NA,NA,NA,NA
"5-(3'-hydroxyphenyl)-γ-valerolactone","FB_08666",NA,NA,NA,NA,"OXASBXALVLRTKO-UHFFFAOYSA-N","InChI=1S/C11H12O3/c12-9-3-1-8(2-4-9)7-10-5-6-11(13)14-10/h1-4,10,12H,5-7H2",NA
"5-(3'-hydroxyphenyl)-γ-valerolactone 3'-glucuronide","FB_030497",NA,NA,NA,NA,"DPSUQBKEHXAIDY-YHNANPAJSA-N","InChI=1S/C17H20O9/c18-11-5-4-10(24-11)7-8-2-1-3-9(6-8)25-17-14(21)12(19)13(20)15(26-17)16(22)23/h1-3,6,10,12-15,17,19-21H,4-5,7H2,(H,22,23)/t10?,12-,13-,14+,15-,17+/m0/s1",NA
"5-(3'-hydroxyphenyl)-γ-valerolactone 3'-sulfate","FB_030498",NA,NA,NA,"124202065","DPRDYFJWDRNYAZ-UHFFFAOYSA-N","InChI=1S/C11H12O6S/c12-11-5-4-9(16-11)6-8-2-1-3-10(7-8)17-18(13,14)15/h1-3,7,9H,4-6H2,(H,13,14,15)",NA
"5-(3'-methoxy-4'-hydroxyphenyl)-γ-valerolactone","FB_030511",NA,NA,NA,"3028410","GCIFEQYZDROELP-UHFFFAOYSA-N","InChI=1S/C12H14O4/c1-15-11-7-8(2-4-10(11)13)6-9-3-5-12(14)16-9/h2,4,7,9,13H,3,5-6H2,1H3","2293832"
"5-(3'-methoxy-4'-hydroxyphenyl)-γ-valerolactone glucuronide","FB_030512",NA,NA,NA,NA,"NGMVEYPQYAIGEI-UHFFFAOYSA-N","InChI=1S/C18H22O10/c1-25-11-7-8(6-9-3-5-12(19)26-9)2-4-10(11)27-18-15(22)13(20)14(21)16(28-18)17(23)24/h2,4,7,9,13-16,18,20-22H,3,5-6H2,1H3,(H,23,24)",NA
"5-(3'-methoxy-4'-hydroxyphenyl)-γ-valerolactone sulfate","FB_030513",NA,NA,NA,NA,"FYRRHCSCZYSADR-UHFFFAOYSA-N","InChI=1S/C12H14O7S/c1-17-11-7-8(6-9-3-5-12(13)18-9)2-4-10(11)19-20(14,15)16/h2,4,7,9H,3,5-6H2,1H3,(H,14,15,16)",NA
"5-(4’-hydroxyphenyl)-γ-valerolactone","FB_08711",NA,NA,NA,NA,NA,NA,NA
"5-(4’-hydroxyphenyl)-γ-valerolactone 4'-glucuronide","FB_08710",NA,NA,NA,NA,NA,NA,NA
"5-(4'-hydroxyphenyl)-γ-valerolactone 4'-sulfate","FB_030499",NA,NA,NA,NA,NA,NA,NA
"5-acetylamino-6-formylamino-3-methyluracil","FB_030667","HMDB11105","C16365","CHEBI:32643","108214","RDZNZFGKEVDNPK-UHFFFAOYSA-N","InChI=1S/C8H10N4O4/c1-4(14)10-5-6(9-3-13)11-8(16)12(2)7(5)15/h3H,1-2H3,(H,9,13)(H,10,14)(H,11,16)","97287"
"5-caffeoylquinic acid","FB_030399",NA,"C17147","CHEBI:16384","5280633","CWVRJTMFETXNAD-NXLLHMKUSA-N","InChI=1S/C16H18O9/c17-9-3-1-8(5-10(9)18)2-4-13(20)25-12-7-16(24,15(22)23)6-11(19)14(12)21/h1-5,11-12,14,17-19,21,24H,6-7H2,(H,22,23)/b4-2+/t11-,12-,14+,16-/m1/s1","4444237"
"5-feruloylquinic acid","FB_030405",NA,NA,NA,"15901362","RAGZUCNPTLULOL-LWOZFZEPSA-N","InChI=1S/C17H20O9/c1-25-12-6-9(2-4-10(12)18)3-5-14(20)26-13-8-17(24,16(22)23)7-11(19)15(13)21/h2-6,11,13,15,18-19,21,24H,7-8H2,1H3,(H,22,23)/b5-3+/t11-,13-,15-,17+/m0/s1",NA
"5-hydroxyindole-3-acetic acid","FB_030705","HMDB00763","C05635","CHEBI:27823","1826","DUUGKQCEGZLZNO-UHFFFAOYSA-N","InChI=1S/C10H9NO3/c12-7-1-2-9-8(4-7)6(5-11-9)3-10(13)14/h1-2,4-5,11-12H,3H2,(H,13,14)",NA
"5-(hydroxymethyl-2-furoyl)glycine","FB_030650",NA,NA,NA,"6537488","HBULKUDERNWOBN-UHFFFAOYSA-N","InChI=1S/C8H9NO5/c10-4-5-1-2-6(14-5)8(13)9-3-7(11)12/h1-2,10H,3-4H2,(H,9,13)(H,11,12)","5020627"
"5-n-heneicosylresorcinol","FB_030721",NA,NA,NA,"155461","BLHLKJLSYHEOGY-UHFFFAOYSA-N","InChI=1S/C27H48O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-25-22-26(28)24-27(29)23-25/h22-24,28-29H,2-21H2,1H3","136952"
"5-n-heptadecylresorcinol","FB_030719",NA,NA,NA,"181700","BBGNINPPDHJETF-UHFFFAOYSA-N","InChI=1S/C23H40O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-21-18-22(24)20-23(25)19-21/h18-20,24-25H,2-17H2,1H3",NA
"5-n-nonadecylresorcinol","FB_030720",NA,NA,NA,"161858","PUNOCEUUYUXUGR-UHFFFAOYSA-N","InChI=1S/C25H44O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-23-20-24(26)22-25(27)21-23/h20-22,26-27H,2-19H2,1H3",NA
"5-n-pentacosylresorcinol","FB_030723",NA,NA,NA,"155463","GDJMJAKVVSGNLA-UHFFFAOYSA-N","InChI=1S/C31H56O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-29-26-30(32)28-31(33)27-29/h26-28,32-33H,2-25H2,1H3","136954"
"5-n-pentadecylresorcinol","FB_030718",NA,"C10809","CHEBI:2120","76617","KVVSCMOUFCNCGX-UHFFFAOYSA-N","InChI=1S/C21H36O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-19-16-20(22)18-21(23)17-19/h16-18,22-23H,2-15H2,1H3","69081"
"5-n-tricosylresorcinol","FB_030722",NA,NA,NA,"155462","OHTBGMREZYLZQD-UHFFFAOYSA-N","InChI=1S/C29H52O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-27-24-28(30)26-29(31)25-27/h24-26,30-31H,2-23H2,1H3","136953"
"6-amino-5-(n-methylformylamino)-1-methyluracil","FB_030666",NA,NA,NA,"9920643","XWCBQDPCEYHYRB-UHFFFAOYSA-N","InChI=1S/C7H10N4O3/c1-3(12)9-4-5(8)11(2)7(14)10-6(4)13/h8H2,1-2H3,(H,9,12)(H,10,13,14)","8096278"
"6-methoxy-benzoxazolin-2-one","FB_030725",NA,NA,NA,"10772","MKMCJLMBVKHUMS-UHFFFAOYSA-N","InChI=1S/C8H7NO3/c1-11-5-2-3-6-7(4-5)12-8(10)9-6/h2-4H,1H3,(H,9,10)",NA
