"metabolite","food"
"1,3-dimethyluric acid","''tea based beverage product''"
"1,3-dimethyluric acid","''coffee based beverage product''"
"1,7-dimethyluric acid","''tea based beverage product''"
"1,7-dimethyluric acid","''cacao food product''"
"1,7-dimethyluric acid","''coffee based beverage product''"
"2,6-dihydroxybenzoic acid","''Whole grain cereal products''"
"2,6-dihydroxybenzoic acid","''vegetable food product''"
"2,6-dihydroxybenzoic acid","''olive oil''"
"2,6-dihydroxybenzoic acid","''red wine''"
"2,6-dihydroxybenzoic acid","''nut (whole or part)''"
"2,6-dihydroxybenzoic acid","''legume food product''"
"2,6-dihydroxybenzoic acid","''plant fruit food product''"
"2,6-dihydroxybenzoic acid","''tea based beverage product''"
"2,6-dihydroxybenzoic acid","''cacao food product''"
"2,6-dihydroxybenzoic acid","''coffee based beverage product''"
"pyrocatechol sulfate","''red wine''"
"pyrocatechol sulfate","''Whole grain cereal products''"
"pyrocatechol sulfate","''vegetable food product''"
"pyrocatechol sulfate","''olive oil''"
"pyrocatechol sulfate","''coffee based beverage product''"
"pyrocatechol sulfate","''tea based beverage product''"
"pyrocatechol sulfate","''cacao food product''"
"pyrocatechol sulfate","''legume food product''"
"pyrocatechol sulfate","''nut (whole or part)''"
"pyrocatechol sulfate","''plant fruit food product''"
"3,7-dimethyluric acid","''tea based beverage product''"
"3,7-dimethyluric acid","''coffee based beverage product''"
"3,7-dimethyluric acid","''cacao food product''"
"hydroxytyrosol","''olive oil''"
"1,3,7-trimethyluric acid	1,3,7-trimethyluric acid","''tea based beverage product''"
"1,3,7-trimethyluric acid	1,3,7-trimethyluric acid","''coffee based beverage product''"
"1,3,7-trimethyluric acid	1,3,7-trimethyluric acid","''cacao food product''"
"cyclo(L-Pro-L-Val)","''coffee based beverage product''"
"cyclo(L-Pro-L-Val)","''cacao food product''"
"m-hydroxyhippuric acid","''Whole grain cereal products''"
"m-hydroxyhippuric acid","''olive oil''"
"m-hydroxyhippuric acid","''plant fruit food product''"
"m-hydroxyhippuric acid","''coffee based beverage product''"
"m-hydroxyhippuric acid","''cacao food product''"
"m-hydroxyhippuric acid","''tea based beverage product''"
"m-hydroxyhippuric acid","''red wine''"
"m-hydroxyhippuric acid","''nut (whole or part)''"
"m-hydroxyhippuric acid","''legume food product''"
"m-hydroxyhippuric acid","''vegetable food product''"
"p-hydroxyhippuric acid","''Whole grain cereal products''"
"p-hydroxyhippuric acid","''red wine''"
"p-hydroxyhippuric acid","''nut (whole or part)''"
"p-hydroxyhippuric acid","''coffee based beverage product''"
"p-hydroxyhippuric acid","''tea based beverage product''"
"p-hydroxyhippuric acid","''cacao food product''"
"p-hydroxyhippuric acid","''olive oil''"
"p-hydroxyhippuric acid","''plant fruit food product''"
"p-hydroxyhippuric acid","''legume food product''"
"p-hydroxyhippuric acid","''vegetable food product''"
"1-salicylate glucuronide","''red wine''"
"1-salicylate glucuronide","''vegetable food product''"
"1-salicylate glucuronide","''olive oil''"
"1-salicylate glucuronide","''Whole grain cereal products''"
"1-salicylate glucuronide","''tea based beverage product''"
"1-salicylate glucuronide","''coffee based beverage product''"
"1-salicylate glucuronide","''legume food product''"
"1-salicylate glucuronide","''nut (whole or part)''"
"1-salicylate glucuronide","''cacao food product''"
"1-salicylate glucuronide","''plant fruit food product''"
"S-allylcysteine","''garlic (whole, raw)''"
"S-allylcysteine","''Onion family vegetables''"
"procyanidin B2","''red wine''"
"procyanidin B2","''berry (whole, raw)''"
"procyanidin B2","''tea based beverage product''"
"procyanidin B2","''cacao food product''"
"procyanidin B2","''nut (whole or part)''"
"procyanidin B2","''apple (whole)''"
"kaempferol 3-O-glucuronide","''Whole grain cereal products''"
"kaempferol 3-O-glucuronide","''red wine''"
"kaempferol 3-O-glucuronide","''vegetable food product''"
"kaempferol 3-O-glucuronide","''legume food product''"
"kaempferol 3-O-glucuronide","''nut (whole or part)''"
"kaempferol 3-O-glucuronide","''plant fruit food product''"
"kaempferol 3-O-glucuronide","''tea based beverage product''"
"kaempferol 3-O-glucuronide","''cacao food product''"
"kaempferol 3-O-glucuronide","''coffee based beverage product''"
"kaempferol 3-O-glucuronide","''olive oil''"
"luteolin 3-O-glucuronide","''vegetable food product''"
"luteolin 3-O-glucuronide","''red wine''"
"luteolin 3-O-glucuronide","''nut (whole or part)''"
"luteolin 3-O-glucuronide","''legume food product''"
"luteolin 3-O-glucuronide","''plant fruit food product''"
"luteolin 3-O-glucuronide","''olive oil''"
"luteolin 3-O-glucuronide","''tea based beverage product''"
"luteolin 3-O-glucuronide","''cacao food product''"
"luteolin 3-O-glucuronide","''coffee based beverage product''"
"luteolin 3-O-glucuronide","''Whole grain cereal products''"
"(+)-epicatechin-3-O-gallate","''apple (whole)''"
"(+)-epicatechin-3-O-gallate","''red wine''"
"(+)-epicatechin-3-O-gallate","''nut (whole or part)''"
"(+)-epicatechin-3-O-gallate","''cacao food product''"
"(+)-epicatechin-3-O-gallate","''tea based beverage product''"
"(+)-epicatechin-3-O-gallate","''berry (whole, raw)''"
"sinapic acid	sinapic acid","''Whole grain cereal products''"
"sinapic acid	sinapic acid","''coffee based beverage product''"
"sinapic acid	sinapic acid","''plant fruit food product''"
"sinapic acid	sinapic acid","''legume food product''"
"sinapic acid	sinapic acid","''tea based beverage product''"
"sinapic acid	sinapic acid","''olive oil''"
"sinapic acid	sinapic acid","''red wine''"
"sinapic acid	sinapic acid","''nut (whole or part)''"
"sinapic acid	sinapic acid","''cacao food product''"
"sinapic acid	sinapic acid","''vegetable food product''"
"DIBOA-glucoside","''Whole grain cereal products''"
"Enterodiol","''vegetable food product''"
"Enterodiol","''red wine''"
"Enterodiol","''nut (whole or part)''"
"Enterodiol","''legume food product''"
"Enterodiol","''plant fruit food product''"
"Enterodiol","''Whole grain cereal products''"
"Enterodiol","''olive oil''"
"Enterodiol","''tea based beverage product''"
"Enterodiol","''cacao food product''"
"Enterodiol","''coffee based beverage product''"
"trans-piceid","''red wine''"
"trans-piceid","''grape (whole, raw)''"
"Arsenobetaine","''seafood product''"
"N-(2-furoyl)glycine","''coffee based beverage product''"
"N-(2-furoyl)glycine","''cacao food product''"
"N-(2-furoyl)glycine","''Whole grain cereal products''"
"p-cresol sulfate","''meat food product''"
"p-cresol sulfate","''dairy food product''"
"p-cresol sulfate","''Whole grain cereal products''"
"p-cresol sulfate","''nut (whole or part)''"
"p-cresol sulfate","''egg food product''"
"p-cresol sulfate","''legume food product''"
"p-cresol sulfate","''soybean (whole)''"
"dihydroresveratrol-3-O-sulfate","''grape (whole, raw)''"
"dihydroresveratrol-3-O-sulfate","''red wine''"
"dihydroresveratrol-3-O-beta-D-glucuronide","''grape (whole, raw)''"
"dihydroresveratrol-3-O-beta-D-glucuronide","''red wine''"
"resveratrol-3-O-sulfate","''grape (whole, raw)''"
"resveratrol-3-O-sulfate","''red wine''"
"trans-4-hydroxy-L-proline betaine","''citrus fruit food product''"
"epicatechin	(-)-epicatechin","''apple (whole)''"
"epicatechin	(-)-epicatechin","''tea based beverage product''"
"epicatechin	(-)-epicatechin","''cacao food product''"
"epicatechin	(-)-epicatechin","''nut (whole or part)''"
"epicatechin	(-)-epicatechin","''red wine''"
"epicatechin	(-)-epicatechin","''berry (whole, raw)''"
"2-hydroxyhippuric acid	salicyluric acid","''Whole grain cereal products''"
"2-hydroxyhippuric acid	salicyluric acid","''coffee based beverage product''"
"2-hydroxyhippuric acid	salicyluric acid","''olive oil''"
"2-hydroxyhippuric acid	salicyluric acid","''nut (whole or part)''"
"2-hydroxyhippuric acid	salicyluric acid","''legume food product''"
"2-hydroxyhippuric acid	salicyluric acid","''plant fruit food product''"
"2-hydroxyhippuric acid	salicyluric acid","''red wine''"
"2-hydroxyhippuric acid	salicyluric acid","''tea based beverage product''"
"2-hydroxyhippuric acid	salicyluric acid","''cacao food product''"
"2-hydroxyhippuric acid	salicyluric acid","''vegetable food product''"
"tomatidine","''tomato (whole, raw)''"
"3-hydroxybenzoic acid glucuronide","''Whole grain cereal products''"
"3-hydroxybenzoic acid glucuronide","''red wine''"
"3-hydroxybenzoic acid glucuronide","''nut (whole or part)''"
"3-hydroxybenzoic acid glucuronide","''coffee based beverage product''"
"3-hydroxybenzoic acid glucuronide","''tea based beverage product''"
"3-hydroxybenzoic acid glucuronide","''cacao food product''"
"3-hydroxybenzoic acid glucuronide","''olive oil''"
"3-hydroxybenzoic acid glucuronide","''plant fruit food product''"
"3-hydroxybenzoic acid glucuronide","''legume food product''"
"3-hydroxybenzoic acid glucuronide","''vegetable food product''"
"4-hydroxybenzoic acid glucuronide","''red wine''"
"4-hydroxybenzoic acid glucuronide","''vegetable food product''"
"4-hydroxybenzoic acid glucuronide","''Whole grain cereal products''"
"4-hydroxybenzoic acid glucuronide","''nut (whole or part)''"
"4-hydroxybenzoic acid glucuronide","''coffee based beverage product''"
"4-hydroxybenzoic acid glucuronide","''cacao food product''"
"4-hydroxybenzoic acid glucuronide","''tea based beverage product''"
"4-hydroxybenzoic acid glucuronide","''plant fruit food product''"
"4-hydroxybenzoic acid glucuronide","''olive oil''"
"4-hydroxybenzoic acid glucuronide","''legume food product''"
"2-hydroxybenzoic acid sulfate","''vegetable food product''"
"2-hydroxybenzoic acid sulfate","''red wine''"
"2-hydroxybenzoic acid sulfate","''nut (whole or part)''"
"2-hydroxybenzoic acid sulfate","''Whole grain cereal products''"
"2-hydroxybenzoic acid sulfate","''coffee based beverage product''"
"2-hydroxybenzoic acid sulfate","''tea based beverage product''"
"2-hydroxybenzoic acid sulfate","''olive oil''"
"2-hydroxybenzoic acid sulfate","''cacao food product''"
"2-hydroxybenzoic acid sulfate","''plant fruit food product''"
"2-hydroxybenzoic acid sulfate","''legume food product''"
"3-hydroxybenzoic acid sulfate","''nut (whole or part)''"
"3-hydroxybenzoic acid sulfate","''Whole grain cereal products''"
"3-hydroxybenzoic acid sulfate","''vegetable food product''"
"3-hydroxybenzoic acid sulfate","''coffee based beverage product''"
"3-hydroxybenzoic acid sulfate","''cacao food product''"
"3-hydroxybenzoic acid sulfate","''tea based beverage product''"
"3-hydroxybenzoic acid sulfate","''olive oil''"
"3-hydroxybenzoic acid sulfate","''plant fruit food product''"
"3-hydroxybenzoic acid sulfate","''red wine''"
"3-hydroxybenzoic acid sulfate","''legume food product''"
"4-hydroxybenzoic acid sulfate","''legume food product''"
"4-hydroxybenzoic acid sulfate","''vegetable food product''"
"4-hydroxybenzoic acid sulfate","''coffee based beverage product''"
"4-hydroxybenzoic acid sulfate","''tea based beverage product''"
"4-hydroxybenzoic acid sulfate","''cacao food product''"
"4-hydroxybenzoic acid sulfate","''Whole grain cereal products''"
"4-hydroxybenzoic acid sulfate","''plant fruit food product''"
"4-hydroxybenzoic acid sulfate","''olive oil''"
"4-hydroxybenzoic acid sulfate","''red wine''"
"4-hydroxybenzoic acid sulfate","''nut (whole or part)''"
"2,4-dihydroxybenzoic acid","''legume food product''"
"2,4-dihydroxybenzoic acid","''vegetable food product''"
"2,4-dihydroxybenzoic acid","''coffee based beverage product''"
"2,4-dihydroxybenzoic acid","''cacao food product''"
"2,4-dihydroxybenzoic acid","''tea based beverage product''"
"2,4-dihydroxybenzoic acid","''red wine''"
"2,4-dihydroxybenzoic acid","''Whole grain cereal products''"
"2,4-dihydroxybenzoic acid","''nut (whole or part)''"
"2,4-dihydroxybenzoic acid","''plant fruit food product''"
"2,4-dihydroxybenzoic acid","''olive oil''"
"3,4-dihydroxybenzoic acid","''plant fruit food product''"
"3,4-dihydroxybenzoic acid","''legume food product''"
"3,4-dihydroxybenzoic acid","''vegetable food product''"
"3,4-dihydroxybenzoic acid","''red wine''"
"3,4-dihydroxybenzoic acid","''nut (whole or part)''"
"3,4-dihydroxybenzoic acid","''cacao food product''"
"3,4-dihydroxybenzoic acid","''coffee based beverage product''"
"3,4-dihydroxybenzoic acid","''olive oil''"
"3,4-dihydroxybenzoic acid","''tea based beverage product''"
"3,4-dihydroxybenzoic acid","''Whole grain cereal products''"
"3,4-dihydroxybenzoic acid 3-glucuronide","''coffee based beverage product''"
"3,4-dihydroxybenzoic acid 3-glucuronide","''olive oil''"
"3,4-dihydroxybenzoic acid 3-glucuronide","''tea based beverage product''"
"3,4-dihydroxybenzoic acid 3-glucuronide","''cacao food product''"
"3,4-dihydroxybenzoic acid 3-glucuronide","''red wine''"
"3,4-dihydroxybenzoic acid 3-glucuronide","''Whole grain cereal products''"
"3,4-dihydroxybenzoic acid 3-glucuronide","''plant fruit food product''"
"3,4-dihydroxybenzoic acid 3-glucuronide","''nut (whole or part)''"
"3,4-dihydroxybenzoic acid 3-glucuronide","''legume food product''"
"3,4-dihydroxybenzoic acid 3-glucuronide","''vegetable food product''"
"3,4-dihydroxybenzoic acid 4-glucuronide","''red wine''"
"3,4-dihydroxybenzoic acid 4-glucuronide","''tea based beverage product''"
"3,4-dihydroxybenzoic acid 4-glucuronide","''cacao food product''"
"3,4-dihydroxybenzoic acid 4-glucuronide","''coffee based beverage product''"
"3,4-dihydroxybenzoic acid 4-glucuronide","''olive oil''"
"3,4-dihydroxybenzoic acid 4-glucuronide","''Whole grain cereal products''"
"3,4-dihydroxybenzoic acid 4-glucuronide","''plant fruit food product''"
"3,4-dihydroxybenzoic acid 4-glucuronide","''legume food product''"
"3,4-dihydroxybenzoic acid 4-glucuronide","''nut (whole or part)''"
"3,4-dihydroxybenzoic acid 4-glucuronide","''vegetable food product''"
"3,5-dihydroxybenzoic acid glucuronide","''Whole grain cereal products''"
"3,5-dihydroxybenzoic acid glucuronide","''red wine''"
"3,5-dihydroxybenzoic acid glucuronide","''coffee based beverage product''"
"3,5-dihydroxybenzoic acid glucuronide","''tea based beverage product''"
"3,5-dihydroxybenzoic acid glucuronide","''cacao food product''"
"3,5-dihydroxybenzoic acid glucuronide","''plant fruit food product''"
"3,5-dihydroxybenzoic acid glucuronide","''olive oil''"
"3,5-dihydroxybenzoic acid glucuronide","''nut (whole or part)''"
"3,5-dihydroxybenzoic acid glucuronide","''legume food product''"
"3,5-dihydroxybenzoic acid glucuronide","''vegetable food product''"
"3,4-dihydroxybenzoic acid 3-sulfate","''Whole grain cereal products''"
"3,4-dihydroxybenzoic acid 3-sulfate","''vegetable food product''"
"3,4-dihydroxybenzoic acid 3-sulfate","''tea based beverage product''"
"3,4-dihydroxybenzoic acid 3-sulfate","''cacao food product''"
"3,4-dihydroxybenzoic acid 3-sulfate","''coffee based beverage product''"
"3,4-dihydroxybenzoic acid 3-sulfate","''olive oil''"
"3,4-dihydroxybenzoic acid 3-sulfate","''plant fruit food product''"
"3,4-dihydroxybenzoic acid 3-sulfate","''legume food product''"
"3,4-dihydroxybenzoic acid 3-sulfate","''red wine''"
"3,4-dihydroxybenzoic acid 3-sulfate","''nut (whole or part)''"
"3,4-dihydroxybenzoic acid 4-sulfate","''nut (whole or part)''"
"3,4-dihydroxybenzoic acid 4-sulfate","''legume food product''"
"3,4-dihydroxybenzoic acid 4-sulfate","''vegetable food product''"
"3,4-dihydroxybenzoic acid 4-sulfate","''coffee based beverage product''"
"3,4-dihydroxybenzoic acid 4-sulfate","''cacao food product''"
"3,4-dihydroxybenzoic acid 4-sulfate","''tea based beverage product''"
"3,4-dihydroxybenzoic acid 4-sulfate","''Whole grain cereal products''"
"3,4-dihydroxybenzoic acid 4-sulfate","''olive oil''"
"3,4-dihydroxybenzoic acid 4-sulfate","''plant fruit food product''"
"3,4-dihydroxybenzoic acid 4-sulfate","''red wine''"
"3,5-dihydroxybenzoic acid sulfate","''legume food product''"
"3,5-dihydroxybenzoic acid sulfate","''nut (whole or part)''"
"3,5-dihydroxybenzoic acid sulfate","''vegetable food product''"
"3,5-dihydroxybenzoic acid sulfate","''tea based beverage product''"
"3,5-dihydroxybenzoic acid sulfate","''cacao food product''"
"3,5-dihydroxybenzoic acid sulfate","''coffee based beverage product''"
"3,5-dihydroxybenzoic acid sulfate","''Whole grain cereal products''"
"3,5-dihydroxybenzoic acid sulfate","''red wine''"
"3,5-dihydroxybenzoic acid sulfate","''olive oil''"
"3,5-dihydroxybenzoic acid sulfate","''plant fruit food product''"
"vanillic acid glucuronide","''Whole grain cereal products''"
"vanillic acid glucuronide","''red wine''"
"vanillic acid glucuronide","''coffee based beverage product''"
"vanillic acid glucuronide","''cacao food product''"
"vanillic acid glucuronide","''tea based beverage product''"
"vanillic acid glucuronide","''olive oil''"
"vanillic acid glucuronide","''plant fruit food product''"
"vanillic acid glucuronide","''nut (whole or part)''"
"vanillic acid glucuronide","''vegetable food product''"
"vanillic acid glucuronide","''legume food product''"
"vanillic acid sulfate","''Whole grain cereal products''"
"vanillic acid sulfate","''red wine''"
"vanillic acid sulfate","''vegetable food product''"
"vanillic acid sulfate","''cacao food product''"
"vanillic acid sulfate","''tea based beverage product''"
"vanillic acid sulfate","''coffee based beverage product''"
"vanillic acid sulfate","''olive oil''"
"vanillic acid sulfate","''plant fruit food product''"
"vanillic acid sulfate","''nut (whole or part)''"
"vanillic acid sulfate","''legume food product''"
"isovanillic acid glucuronide","''vegetable food product''"
"isovanillic acid glucuronide","''Whole grain cereal products''"
"isovanillic acid glucuronide","''tea based beverage product''"
"isovanillic acid glucuronide","''olive oil''"
"isovanillic acid glucuronide","''coffee based beverage product''"
"isovanillic acid glucuronide","''cacao food product''"
"isovanillic acid glucuronide","''plant fruit food product''"
"isovanillic acid glucuronide","''legume food product''"
"isovanillic acid glucuronide","''red wine''"
"isovanillic acid glucuronide","''nut (whole or part)''"
"isovanillic acid sulfate","''nut (whole or part)''"
"isovanillic acid sulfate","''vegetable food product''"
"isovanillic acid sulfate","''legume food product''"
"isovanillic acid sulfate","''cacao food product''"
"isovanillic acid sulfate","''coffee based beverage product''"
"isovanillic acid sulfate","''tea based beverage product''"
"isovanillic acid sulfate","''Whole grain cereal products''"
"isovanillic acid sulfate","''red wine''"
"isovanillic acid sulfate","''plant fruit food product''"
"isovanillic acid sulfate","''olive oil''"
"syringic acid glucuronide","''olive oil''"
"syringic acid glucuronide","''coffee based beverage product''"
"syringic acid glucuronide","''tea based beverage product''"
"syringic acid glucuronide","''cacao food product''"
"syringic acid glucuronide","''plant fruit food product''"
"syringic acid glucuronide","''legume food product''"
"syringic acid glucuronide","''red wine''"
"syringic acid glucuronide","''nut (whole or part)''"
"syringic acid glucuronide","''vegetable food product''"
"syringic acid glucuronide","''Whole grain cereal products''"
"syringic acid sulfate","''tea based beverage product''"
"syringic acid sulfate","''cacao food product''"
"syringic acid sulfate","''coffee based beverage product''"
"syringic acid sulfate","''red wine''"
"syringic acid sulfate","''Whole grain cereal products''"
"syringic acid sulfate","''plant fruit food product''"
"syringic acid sulfate","''olive oil''"
"syringic acid sulfate","''nut (whole or part)''"
"syringic acid sulfate","''vegetable food product''"
"syringic acid sulfate","''legume food product''"
"gallic acid 3-glucuronide","''coffee based beverage product''"
"gallic acid 3-glucuronide","''Whole grain cereal products''"
"gallic acid 3-glucuronide","''red wine''"
"gallic acid 3-glucuronide","''olive oil''"
"gallic acid 3-glucuronide","''cacao food product''"
"gallic acid 3-glucuronide","''tea based beverage product''"
"gallic acid 3-glucuronide","''legume food product''"
"gallic acid 3-glucuronide","''plant fruit food product''"
"gallic acid 3-glucuronide","''nut (whole or part)''"
"gallic acid 3-glucuronide","''vegetable food product''"
"gallic acid 4-glucuronide","''red wine''"
"gallic acid 4-glucuronide","''olive oil''"
"gallic acid 4-glucuronide","''Whole grain cereal products''"
"gallic acid 4-glucuronide","''coffee based beverage product''"
"gallic acid 4-glucuronide","''cacao food product''"
"gallic acid 4-glucuronide","''tea based beverage product''"
"gallic acid 4-glucuronide","''plant fruit food product''"
"gallic acid 4-glucuronide","''legume food product''"
"gallic acid 4-glucuronide","''nut (whole or part)''"
"gallic acid 4-glucuronide","''vegetable food product''"
"gallic acid 3-sulfate","''Whole grain cereal products''"
"gallic acid 3-sulfate","''red wine''"
"gallic acid 3-sulfate","''tea based beverage product''"
"gallic acid 3-sulfate","''cacao food product''"
"gallic acid 3-sulfate","''coffee based beverage product''"
"gallic acid 3-sulfate","''olive oil''"
"gallic acid 3-sulfate","''plant fruit food product''"
"gallic acid 3-sulfate","''vegetable food product''"
"gallic acid 3-sulfate","''nut (whole or part)''"
"gallic acid 3-sulfate","''legume food product''"
"gallic acid 4-sulfate","''red wine''"
"gallic acid 4-sulfate","''vegetable food product''"
"gallic acid 4-sulfate","''Whole grain cereal products''"
"gallic acid 4-sulfate","''coffee based beverage product''"
"gallic acid 4-sulfate","''tea based beverage product''"
"gallic acid 4-sulfate","''cacao food product''"
"gallic acid 4-sulfate","''olive oil''"
"gallic acid 4-sulfate","''plant fruit food product''"
"gallic acid 4-sulfate","''nut (whole or part)''"
"gallic acid 4-sulfate","''legume food product''"
"4-methylgallic acid","''Whole grain cereal products''"
"4-methylgallic acid","''red wine''"
"4-methylgallic acid","''vegetable food product''"
"4-methylgallic acid","''coffee based beverage product''"
"4-methylgallic acid","''olive oil''"
"4-methylgallic acid","''cacao food product''"
"4-methylgallic acid","''tea based beverage product''"
"4-methylgallic acid","''legume food product''"
"4-methylgallic acid","''plant fruit food product''"
"4-methylgallic acid","''nut (whole or part)''"
"ethylgallate","''olive oil''"
"ethylgallate","''Whole grain cereal products''"
"ethylgallate","''coffee based beverage product''"
"ethylgallate","''tea based beverage product''"
"ethylgallate","''cacao food product''"
"ethylgallate","''legume food product''"
"ethylgallate","''nut (whole or part)''"
"ethylgallate","''plant fruit food product''"
"ethylgallate","''red wine''"
"ethylgallate","''vegetable food product''"
"ethylgallate 3-glucuronide","''Whole grain cereal products''"
"ethylgallate 3-glucuronide","''tea based beverage product''"
"ethylgallate 3-glucuronide","''cacao food product''"
"ethylgallate 3-glucuronide","''coffee based beverage product''"
"ethylgallate 3-glucuronide","''plant fruit food product''"
"ethylgallate 3-glucuronide","''olive oil''"
"ethylgallate 3-glucuronide","''vegetable food product''"
"ethylgallate 3-glucuronide","''red wine''"
"ethylgallate 3-glucuronide","''nut (whole or part)''"
"ethylgallate 3-glucuronide","''legume food product''"
"ethylgallate 3-sulfate","''vegetable food product''"
"ethylgallate 3-sulfate","''Whole grain cereal products''"
"ethylgallate 3-sulfate","''coffee based beverage product''"
"ethylgallate 3-sulfate","''cacao food product''"
"ethylgallate 3-sulfate","''tea based beverage product''"
"ethylgallate 3-sulfate","''plant fruit food product''"
"ethylgallate 3-sulfate","''olive oil''"
"ethylgallate 3-sulfate","''nut (whole or part)''"
"ethylgallate 3-sulfate","''red wine''"
"ethylgallate 3-sulfate","''legume food product''"
"2-hydroxyphenylacetic acid glucuronide","''tea based beverage product''"
"2-hydroxyphenylacetic acid glucuronide","''cacao food product''"
"2-hydroxyphenylacetic acid glucuronide","''legume food product''"
"2-hydroxyphenylacetic acid glucuronide","''plant fruit food product''"
"2-hydroxyphenylacetic acid glucuronide","''olive oil''"
"2-hydroxyphenylacetic acid glucuronide","''red wine''"
"2-hydroxyphenylacetic acid glucuronide","''nut (whole or part)''"
"2-hydroxyphenylacetic acid glucuronide","''Whole grain cereal products''"
"2-hydroxyphenylacetic acid glucuronide","''vegetable food product''"
"2-hydroxyphenylacetic acid glucuronide","''coffee based beverage product''"
"3-hydroxyphenylacetic acid glucuronide","''coffee based beverage product''"
"3-hydroxyphenylacetic acid glucuronide","''cacao food product''"
"3-hydroxyphenylacetic acid glucuronide","''tea based beverage product''"
"3-hydroxyphenylacetic acid glucuronide","''legume food product''"
"3-hydroxyphenylacetic acid glucuronide","''nut (whole or part)''"
"3-hydroxyphenylacetic acid glucuronide","''plant fruit food product''"
"3-hydroxyphenylacetic acid glucuronide","''olive oil''"
"3-hydroxyphenylacetic acid glucuronide","''red wine''"
"3-hydroxyphenylacetic acid glucuronide","''Whole grain cereal products''"
"3-hydroxyphenylacetic acid glucuronide","''vegetable food product''"
"4-hydroxyphenylacetic acid glucuronide","''tea based beverage product''"
"4-hydroxyphenylacetic acid glucuronide","''olive oil''"
"4-hydroxyphenylacetic acid glucuronide","''cacao food product''"
"4-hydroxyphenylacetic acid glucuronide","''coffee based beverage product''"
"4-hydroxyphenylacetic acid glucuronide","''plant fruit food product''"
"4-hydroxyphenylacetic acid glucuronide","''Whole grain cereal products''"
"4-hydroxyphenylacetic acid glucuronide","''vegetable food product''"
"4-hydroxyphenylacetic acid glucuronide","''red wine''"
"4-hydroxyphenylacetic acid glucuronide","''nut (whole or part)''"
"4-hydroxyphenylacetic acid glucuronide","''legume food product''"
"2-hydroxyphenylacetic acid sulfate","''coffee based beverage product''"
"2-hydroxyphenylacetic acid sulfate","''cacao food product''"
"2-hydroxyphenylacetic acid sulfate","''tea based beverage product''"
"2-hydroxyphenylacetic acid sulfate","''olive oil''"
"2-hydroxyphenylacetic acid sulfate","''plant fruit food product''"
"2-hydroxyphenylacetic acid sulfate","''Whole grain cereal products''"
"2-hydroxyphenylacetic acid sulfate","''nut (whole or part)''"
"2-hydroxyphenylacetic acid sulfate","''red wine''"
"2-hydroxyphenylacetic acid sulfate","''legume food product''"
"2-hydroxyphenylacetic acid sulfate","''vegetable food product''"
"3-hydroxyphenylacetic acid sulfate","''coffee based beverage product''"
"3-hydroxyphenylacetic acid sulfate","''olive oil''"
"3-hydroxyphenylacetic acid sulfate","''Whole grain cereal products''"
"3-hydroxyphenylacetic acid sulfate","''tea based beverage product''"
"3-hydroxyphenylacetic acid sulfate","''cacao food product''"
"3-hydroxyphenylacetic acid sulfate","''legume food product''"
"3-hydroxyphenylacetic acid sulfate","''plant fruit food product''"
"3-hydroxyphenylacetic acid sulfate","''red wine''"
"3-hydroxyphenylacetic acid sulfate","''nut (whole or part)''"
"3-hydroxyphenylacetic acid sulfate","''vegetable food product''"
"4-hydroxyphenylacetic acid sulfate","''olive oil''"
"4-hydroxyphenylacetic acid sulfate","''Whole grain cereal products''"
"4-hydroxyphenylacetic acid sulfate","''cacao food product''"
"4-hydroxyphenylacetic acid sulfate","''tea based beverage product''"
"4-hydroxyphenylacetic acid sulfate","''coffee based beverage product''"
"4-hydroxyphenylacetic acid sulfate","''legume food product''"
"4-hydroxyphenylacetic acid sulfate","''nut (whole or part)''"
"4-hydroxyphenylacetic acid sulfate","''plant fruit food product''"
"4-hydroxyphenylacetic acid sulfate","''red wine''"
"4-hydroxyphenylacetic acid sulfate","''vegetable food product''"
"3,4-dihydroxyphenylacetic acid","''Whole grain cereal products''"
"3,4-dihydroxyphenylacetic acid","''cacao food product''"
"3,4-dihydroxyphenylacetic acid","''tea based beverage product''"
"3,4-dihydroxyphenylacetic acid","''coffee based beverage product''"
"3,4-dihydroxyphenylacetic acid","''plant fruit food product''"
"3,4-dihydroxyphenylacetic acid","''olive oil''"
"3,4-dihydroxyphenylacetic acid","''vegetable food product''"
"3,4-dihydroxyphenylacetic acid","''nut (whole or part)''"
"3,4-dihydroxyphenylacetic acid","''red wine''"
"3,4-dihydroxyphenylacetic acid","''legume food product''"
"homovanillic acid 4-glucuronide","''plant fruit food product''"
"homovanillic acid 4-glucuronide","''olive oil''"
"homovanillic acid 4-glucuronide","''red wine''"
"homovanillic acid 4-glucuronide","''legume food product''"
"homovanillic acid 4-glucuronide","''nut (whole or part)''"
"homovanillic acid 4-glucuronide","''Whole grain cereal products''"
"homovanillic acid 4-glucuronide","''vegetable food product''"
"homovanillic acid 4-glucuronide","''tea based beverage product''"
"homovanillic acid 4-glucuronide","''cacao food product''"
"homovanillic acid 4-glucuronide","''coffee based beverage product''"
"homovanillic acid 4-sulfate","''tea based beverage product''"
"homovanillic acid 4-sulfate","''cacao food product''"
"homovanillic acid 4-sulfate","''nut (whole or part)''"
"homovanillic acid 4-sulfate","''legume food product''"
"homovanillic acid 4-sulfate","''plant fruit food product''"
"homovanillic acid 4-sulfate","''olive oil''"
"homovanillic acid 4-sulfate","''red wine''"
