Entity;Type;Superclass(es);BiomarkerOf;Contains;
'3,4-dihydroxybenzoic acid 4-glucuronide';Class;'Phenolic glycosides';"''red wine''	''tea based beverage product''	''cacao food product''	''coffee based beverage product''	''olive oil''	''Whole grain cereal products''	''plant fruit food product''	''legume food product''	''nut (whole or part)''	''vegetable food product''";;
'3,5-dihydroxybenzoic acid glucuronide';Class;'Phenolic glycosides';"''Whole grain cereal products''	''red wine''	''coffee based beverage product''	''cacao food product''	''tea based beverage product''	''olive oil''	''plant fruit food product''	''nut (whole or part)''	''legume food product''	''vegetable food product''";;
'3,4-dihydroxybenzoic acid 3-sulfate';Class;Phenylsulfates;"''Whole grain cereal products''	''vegetable food product''	''tea based beverage product''	''cacao food product''	''olive oil''	''coffee based beverage product''	''plant fruit food product''	''red wine''	''legume food product''	''nut (whole or part)''";;
'3,4-dihydroxybenzoic acid 4-sulfate';Class;Phenylsulfates;"''nut (whole or part)''	''legume food product''	''vegetable food product''	''coffee based beverage product''	''tea based beverage product''	''cacao food product''	''Whole grain cereal products''	''olive oil''	''plant fruit food product''	''red wine''";;
'3,5-dihydroxybenzoic acid sulfate';Class;Phenylsulfates;"''legume food product''	''nut (whole or part)''	''vegetable food product''	''tea based beverage product''	''cacao food product''	''coffee based beverage product''	''red wine''	''Whole grain cereal products''	''plant fruit food product''	''olive oil''";;
'vanillic acid glucuronide';Class;'Phenolic glycosides';"''Whole grain cereal products''	''red wine''	''coffee based beverage product''	''cacao food product''	''tea based beverage product''	''olive oil''	''plant fruit food product''	''nut (whole or part)''	''vegetable food product''	''legume food product''";;
'vanillic acid sulfate';Class;'M-methoxybenzoic acids and derivatives';"''Whole grain cereal products''	''red wine''	''vegetable food product''	''cacao food product''	''tea based beverage product''	''coffee based beverage product''	''olive oil''	''plant fruit food product''	''nut (whole or part)''	''legume food product''";;
'isovanillic acid glucuronide';Class;'Phenolic glycosides';"''vegetable food product''	''Whole grain cereal products''	''tea based beverage product''	''olive oil''	''coffee based beverage product''	''cacao food product''	''plant fruit food product''	''legume food product''	''nut (whole or part)''	''red wine''";;
'isovanillic acid sulfate';Class;'P-methoxybenzoic acids and derivatives';"''nut (whole or part)''	''vegetable food product''	''legume food product''	''cacao food product''	''coffee based beverage product''	''tea based beverage product''	''Whole grain cereal products''	''red wine''	''olive oil''	''plant fruit food product''";;
'syringic acid glucuronide';Class;'Hydrolyzable tannins';"''olive oil''	''coffee based beverage product''	''cacao food product''	''tea based beverage product''	''plant fruit food product''	''legume food product''	''nut (whole or part)''	''red wine''	''vegetable food product''	''Whole grain cereal products''";;
'syringic acid sulfate';Class;'Gallic acid and derivatives';"''cacao food product''	''tea based beverage product''	''coffee based beverage product''	''Whole grain cereal products''	''red wine''	''plant fruit food product''	''olive oil''	''nut (whole or part)''	''vegetable food product''	''legume food product''";;
'gallic acid 3-glucuronide';Class;'Hydrolyzable tannins';"''coffee based beverage product''	''Whole grain cereal products''	''red wine''	''olive oil''	''tea based beverage product''	''cacao food product''	''legume food product''	''plant fruit food product''	''nut (whole or part)''	''vegetable food product''";;
'gallic acid 4-glucuronide';Class;'Phenolic glycosides';"''red wine''	''olive oil''	''Whole grain cereal products''	''coffee based beverage product''	''cacao food product''	''tea based beverage product''	''plant fruit food product''	''legume food product''	''nut (whole or part)''	''vegetable food product''";;
'gallic acid 3-sulfate';Class;'Gallic acid and derivatives';"''Whole grain cereal products''	''red wine''	''tea based beverage product''	''cacao food product''	''coffee based beverage product''	''plant fruit food product''	''olive oil''	''nut (whole or part)''	''vegetable food product''	''legume food product''";;
'gallic acid 4-sulfate';Class;'Gallic acid and derivatives';"''red wine''	''vegetable food product''	''Whole grain cereal products''	''coffee based beverage product''	''tea based beverage product''	''cacao food product''	''olive oil''	''plant fruit food product''	''nut (whole or part)''	''legume food product''";;
'4-methylgallic acid';Class;'Gallic acid and derivatives';"''Whole grain cereal products''	''red wine''	''vegetable food product''	''coffee based beverage product''	''olive oil''	''cacao food product''	''tea based beverage product''	''legume food product''	''plant fruit food product''	''nut (whole or part)''";;
ethylgallate;Class;'Galloyl esters';"''olive oil''	''Whole grain cereal products''	''coffee based beverage product''	''tea based beverage product''	''cacao food product''	''legume food product''	''nut (whole or part)''	''plant fruit food product''	''red wine''	''vegetable food product''";;
'ethylgallate 3-glucuronide';Class;'Hydrolyzable tannins';"''Whole grain cereal products''	''cacao food product''	''tea based beverage product''	''coffee based beverage product''	''plant fruit food product''	''olive oil''	''vegetable food product''	''nut (whole or part)''	''red wine''	''legume food product''";;
'ethylgallate 3-sulfate';Class;'Gallic acid and derivatives';"''vegetable food product''	''Whole grain cereal products''	''coffee based beverage product''	''cacao food product''	''tea based beverage product''	''plant fruit food product''	''olive oil''	''nut (whole or part)''	''legume food product''	''red wine''";;
'2-hydroxyphenylacetic acid glucuronide';Class;'Phenolic glycosides';"''tea based beverage product''	''cacao food product''	''legume food product''	''plant fruit food product''	''olive oil''	''red wine''	''nut (whole or part)''	''Whole grain cereal products''	''vegetable food product''	''coffee based beverage product''";;
'3-hydroxyphenylacetic acid glucuronide';Class;'Phenolic glycosides';"''cacao food product''	''coffee based beverage product''	''tea based beverage product''	''legume food product''	''nut (whole or part)''	''olive oil''	''plant fruit food product''	''Whole grain cereal products''	''red wine''	''vegetable food product''";;
'4-hydroxyphenylacetic acid glucuronide';Class;'Phenolic glycosides';"''tea based beverage product''	''olive oil''	''cacao food product''	''coffee based beverage product''	''plant fruit food product''	''Whole grain cereal products''	''vegetable food product''	''nut (whole or part)''	''red wine''	''legume food product''";;
'2-hydroxyphenylacetic acid sulfate';Class;Phenylsulfates;"''cacao food product''	''coffee based beverage product''	''tea based beverage product''	''olive oil''	''plant fruit food product''	''Whole grain cereal products''	''nut (whole or part)''	''red wine''	''legume food product''	''vegetable food product''";;
'3-hydroxyphenylacetic acid sulfate';Class;Phenylsulfates;"''coffee based beverage product''	''olive oil''	''Whole grain cereal products''	''tea based beverage product''	''cacao food product''	''legume food product''	''plant fruit food product''	''nut (whole or part)''	''red wine''	''vegetable food product''";;
'4-hydroxyphenylacetic acid sulfate';Class;Phenylsulfates;"''olive oil''	''Whole grain cereal products''	''cacao food product''	''tea based beverage product''	''coffee based beverage product''	''legume food product''	''nut (whole or part)''	''plant fruit food product''	''red wine''	''vegetable food product''";;
'3,4-dihydroxyphenylacetic acid';Class;Catechols;"''Whole grain cereal products''	''cacao food product''	''tea based beverage product''	''coffee based beverage product''	''plant fruit food product''	''vegetable food product''	''olive oil''	''nut (whole or part)''	''red wine''	''legume food product''";;
'homovanillic acid 4-glucuronide';Class;'Phenolic glycosides';"''plant fruit food product''	''olive oil''	''legume food product''	''red wine''	''nut (whole or part)''	''Whole grain cereal products''	''vegetable food product''	''tea based beverage product''	''cacao food product''	''coffee based beverage product''";;
'homovanillic acid 4-sulfate';Class;Phenylsulfates;"''tea based beverage product''	''cacao food product''	''nut (whole or part)''	''legume food product''	''olive oil''	''plant fruit food product''	''red wine''	''Whole grain cereal products''	''vegetable food product''	''coffee based beverage product''";;
'o-coumaric acid glucuronide';Class;'Phenolic glycosides';"''coffee based beverage product''	''olive oil''	''Whole grain cereal products''	''cacao food product''	''tea based beverage product''	''nut (whole or part)''	''legume food product''	''red wine''	''plant fruit food product''	''vegetable food product''";;
'm-coumaric acid glucuronide';Class;'Phenolic glycosides';"''olive oil''	''Whole grain cereal products''	''cacao food product''	''tea based beverage product''	''coffee based beverage product''	''legume food product''	''nut (whole or part)''	''plant fruit food product''	''red wine''	''vegetable food product''";;
'p-coumaric acid glucuronide';Class;'Phenolic glycosides';"''Whole grain cereal products''	''tea based beverage product''	''cacao food product''	''coffee based beverage product''	''plant fruit food product''	''olive oil''	''vegetable food product''	''red wine''	''nut (whole or part)''	''legume food product''";;
'o-coumaric acid sulfate';Class;'Coumaric acids';"''Whole grain cereal products''	''vegetable food product''	''tea based beverage product''	''cacao food product''	''coffee based beverage product''	''plant fruit food product''	''olive oil''	''red wine''	''legume food product''	''nut (whole or part)''";;
'm-coumaric acid sulfate';Class;'Coumaric acids and derivatives';"''nut (whole or part)''	''vegetable food product''	''plant fruit food product''	''red wine''	''legume food product''	''cacao food product''	''olive oil''	''Whole grain cereal products''	''tea based beverage product''	''coffee based beverage product''";;
'p-coumaric acid sulfate';Class;'Cinnamic acids';"''legume food product''	''plant fruit food product''	''vegetable food product''	''red wine''	''olive oil''	''nut (whole or part)''	''cacao food product''	''Whole grain cereal products''	''tea based beverage product''	''coffee based beverage product''";;
'caffeic acid 3-glucuronide';Class;'Phenolic glycosides';"''legume food product''	''tea based beverage product''	''nut (whole or part)''	''cacao food product''	''red wine''	''plant fruit food product''	''olive oil''	''Whole grain cereal products''	''coffee based beverage product''	''vegetable food product''";;
'caffeic acid 4-glucuronide';Class;'Phenolic glycosides';"''tea based beverage product''	''legume food product''	''coffee based beverage product''	''cacao food product''	''nut (whole or part)''	''plant fruit food product''	''olive oil''	''Whole grain cereal products''	''red wine''	''vegetable food product''";;
'caffeic acid 3-sulfate';Class;'Hydroxycinnamic acids';"''tea based beverage product''	''olive oil''	''coffee based beverage product''	''plant fruit food product''	''cacao food product''	''red wine''	''Whole grain cereal products''	''nut (whole or part)''	''legume food product''	''vegetable food product''";;
'caffeic acid 4-sulfate';Class;'Hydroxycinnamic acids';"''olive oil''	''tea based beverage product''	''coffee based beverage product''	''plant fruit food product''	''cacao food product''	''vegetable food product''	''Whole grain cereal products''	''nut (whole or part)''	''red wine''	''legume food product''";;
'4-caffeoylquinic acid';Class;'Quinic acids and derivatives';"''tea based beverage product''	''coffee based beverage product''	''vegetable food product''	''plant fruit food product''";;
'3,5-dicaffeoylquinic acid';Class;'Quinic acids and derivatives';"''plant fruit food product''	''tea based beverage product''	''coffee based beverage product''	''vegetable food product''";;
'4,5-dicaffeoylquinic acid';Class;'Quinic acids and derivatives';"''plant fruit food product''	''tea based beverage product''	''coffee based beverage product''	''vegetable food product''";;
'3-feruloylquinic acid';Class;'Quinic acids and derivatives';"''plant fruit food product''	''coffee based beverage product''	''tea based beverage product''	''vegetable food product''";;
'4-feruloylquinic acid';Class;'Quinic acids and derivatives';"''plant fruit food product''	''tea based beverage product''	''coffee based beverage product''	''vegetable food product''";;
'5-feruloylquinic acid';Class;'Quinic acids and derivatives';"''tea based beverage product''	''coffee based beverage product''	''vegetable food product''	''plant fruit food product''";;
'ferulic acid 4-glucuronide';Class;'Phenolic glycosides';"''cacao food product''	''tea based beverage product''	''coffee based beverage product''	''vegetable food product''	''nut (whole or part)''	''legume food product''	''red wine''	''plant fruit food product''	''olive oil''	''Whole grain cereal products''";;
'isoferulic acid 3-glucuronide';Class;'Phenolic glycosides';"''coffee based beverage product''	''vegetable food product''	''legume food product''	''plant fruit food product''	''nut (whole or part)''	''red wine''	''Whole grain cereal products''	''tea based beverage product''	''olive oil''	''cacao food product''";;
'ferulic acid 4-sulfate';Class;'Coumaric acids and derivatives';"''nut (whole or part)''	''vegetable food product''	''legume food product''	''Whole grain cereal products''	''red wine''	''plant fruit food product''	''olive oil''	''cacao food product''	''tea based beverage product''	''coffee based beverage product''";;
'isoferulic acid 3-sulfate';Class;'Coumaric acids and derivatives';"''nut (whole or part)''	''legume food product''	''red wine''	''olive oil''	''plant fruit food product''	''Whole grain cereal products''	''coffee based beverage product''	''tea based beverage product''	''cacao food product''	''vegetable food product''";;
'sinapic acid glucuronide';Class;'Phenolic glycosides';"''plant fruit food product''	''legume food product''	''nut (whole or part)''	''olive oil''	''Whole grain cereal products''	''coffee based beverage product''	''tea based beverage product''	''cacao food product''	''red wine''	''vegetable food product''";;
'sinapic acid sulfate';Class;'Coumaric acids and derivatives';"''olive oil''	''plant fruit food product''	''cacao food product''	''tea based beverage product''	''coffee based beverage product''	''Whole grain cereal products''	''red wine''	''nut (whole or part)''	''vegetable food product''	''legume food product''";;
'3-(3,5-dihydroxyphenyl)propionic acid';Class;'Phenylpropanoic acids';"''coffee based beverage product''	''cacao food product''	''tea based beverage product''	''vegetable food product''	''nut (whole or part)''	''legume food product''	''red wine''	''olive oil''	''plant fruit food product''	''Whole grain cereal products''";;
'3-(3,5-dihydroxyphenyl)propionic acid glucuronide';Class;'Phenolic glycosides';"''red wine''	''vegetable food product''	''Whole grain cereal products''	''legume food product''	''nut (whole or part)''	''olive oil''	''plant fruit food product''	''coffee based beverage product''	''cacao food product''	''tea based beverage product''";;
'3-(3,5-dihydroxyphenyl)propionic acid sulfate';Class;Phenylsulfates;"''vegetable food product''	''nut (whole or part)''	''red wine''	''legume food product''	''plant fruit food product''	''Whole grain cereal products''	''olive oil''	''tea based beverage product''	''cacao food product''	''coffee based beverage product''";;
'dihydrocaffeic acid 3-glucuronide';Class;'Phenolic glycosides';"''legume food product''	''plant fruit food product''	''nut (whole or part)''	''red wine''	''Whole grain cereal products''	''tea based beverage product''	''cacao food product''	''coffee based beverage product''	''olive oil''	''vegetable food product''";;
'dihydrocaffeic acid 3-sulfate';Class;Phenylsulfates;"''legume food product''	''nut (whole or part)''	''plant fruit food product''	''Whole grain cereal products''	''cacao food product''	''coffee based beverage product''	''tea based beverage product''	''olive oil''	''red wine''	''vegetable food product''";;
'dihydroferulic acid';Class;'Phenylpropanoic acids';"''plant fruit food product''	''tea based beverage product''	''cacao food product''	''coffee based beverage product''	''Whole grain cereal products''	''olive oil''	''vegetable food product''	''red wine''	''nut (whole or part)''	''legume food product''";;
'dihydroisoferulic acid';Class;'Phenylpropanoic acids';"''plant fruit food product''	''coffee based beverage product''	''cacao food product''	''tea based beverage product''	''Whole grain cereal products''	''vegetable food product''	''nut (whole or part)''	''olive oil''	''legume food product''	''red wine''";;
'dihydroferulic acid 4-glucuronide';Class;'Phenolic glycosides';"''tea based beverage product''	''cacao food product''	''coffee based beverage product''	''Whole grain cereal products''	''vegetable food product''	''legume food product''	''plant fruit food product''	''olive oil''	''nut (whole or part)''	''red wine''";;
'dihydroisoferulic acid 3-glucuronide';Class;'Phenolic glycosides';"''coffee based beverage product''	''cacao food product''	''tea based beverage product''	''red wine''	''vegetable food product''	''Whole grain cereal products''	''legume food product''	''nut (whole or part)''	''olive oil''	''plant fruit food product''";;
'dihydroferulic acid 4-sulfate';Class;Phenylsulfates;"''olive oil''	''tea based beverage product''	''cacao food product''	''coffee based beverage product''	''vegetable food product''	''red wine''	''nut (whole or part)''	''legume food product''	''plant fruit food product''	''Whole grain cereal products''";;
'dihydroisoferulic acid 3-sulfate';Class;Phenylsulfates;"''Whole grain cereal products''	''vegetable food product''	''nut (whole or part)''	''legume food product''	''plant fruit food product''	''olive oil''	''red wine''	''cacao food product''	''tea based beverage product''	''coffee based beverage product''";;
'3-(3-hydroxyphenyl)-3-hydroxypropionic acid';Class;'Phenylpropanoic acids';"''red wine''	''Whole grain cereal products''	''vegetable food product''	''citrus fruit food product''	''legume food product''	''nut (whole or part)''	''olive oil''	''plant fruit food product''	''tea based beverage product''	''cacao food product''	''coffee based beverage product''";;
'pyrogallol 1-glucuronide';Class;'Phenolic glycosides';"''legume food product''	''red wine''	''nut (whole or part)''	''plant fruit food product''	''Whole grain cereal products''	''tea based beverage product''	''cacao food product''	''coffee based beverage product''	''olive oil''	''vegetable food product''";;
'pyrogallol 2-glucuronide';Class;'Phenolic glycosides';"''nut (whole or part)''	''legume food product''	''plant fruit food product''	''red wine''	''Whole grain cereal products''	''tea based beverage product''	''cacao food product''	''coffee based beverage product''	''olive oil''	''vegetable food product''";;
'pyrogallol 1-sulfate';Class;Phenylsulfates;"''legume food product''	''nut (whole or part)''	''plant fruit food product''	''Whole grain cereal products''	''tea based beverage product''	''cacao food product''	''coffee based beverage product''	''olive oil''	''red wine''	''vegetable food product''";;
'pyrogallol 2-sulfate';Class;Phenylsulfates;"''plant fruit food product''	''tea based beverage product''	''cacao food product''	''coffee based beverage product''	''Whole grain cereal products''	''olive oil''	''vegetable food product''	''red wine''	''nut (whole or part)''	''legume food product''";;
1-methylpyrogallol;Class;Methoxyphenols;"''plant fruit food product''	''cacao food product''	''tea based beverage product''	''coffee based beverage product''	''Whole grain cereal products''	''vegetable food product''	''olive oil''	''legume food product''	''red wine''	''nut (whole or part)''";;
2-methylpyrogallol;Class;Methoxyphenols;"''cacao food product''	''tea based beverage product''	''coffee based beverage product''	''Whole grain cereal products''	''vegetable food product''	''nut (whole or part)''	''legume food product''	''plant fruit food product''	''olive oil''	''red wine''";;
'catechol glucuronide';Class;'Phenolic glycosides';"''nut (whole or part)''	''vegetable food product''	''red wine''	''plant fruit food product''	''Whole grain cereal products''	''tea based beverage product''	''coffee based beverage product''	''cacao food product''	''olive oil''	''legume food product''";;
'4-methylcatechol 1-glucuronide';Class;'Phenolic glycosides';"''plant fruit food product''	''legume food product''	''tea based beverage product''	''vegetable food product''	''coffee based beverage product''	''Whole grain cereal products''	''cacao food product''	''olive oil''	''red wine''	''nut (whole or part)''";;
'4-methylcatechol 2-glucuronide';Class;'Phenolic glycosides';"''legume food product''	''tea based beverage product''	''coffee based beverage product''	''vegetable food product''	''Whole grain cereal products''	''cacao food product''	''nut (whole or part)''	''red wine''	''plant fruit food product''	''olive oil''";;
'4-methylcatechol 1-sulfate';Class;Phenylsulfates;"''coffee based beverage product''	''tea based beverage product''	''cacao food product''	''Whole grain cereal products''	''red wine''	''olive oil''	''nut (whole or part)''	''legume food product''	''plant fruit food product''	''vegetable food product''";;
'4-methylcatechol 2-sulfate';Class;Phenylsulfates;"''coffee based beverage product''	''tea based beverage product''	''cacao food product''	''olive oil''	''Whole grain cereal products''	''nut (whole or part)''	''red wine''	''plant fruit food product''	''legume food product''	''vegetable food product''";;
'2,4,6-trihydroxybenzaldehyde';Class;'Acylphloroglucinols and derivatives';"''vegetable food product''	''nut (whole or part)''	''Whole grain cereal products''	''red wine''	''plant fruit food product''	''coffee based beverage product''	''cacao food product''	''tea based beverage product''	''olive oil''	''legume food product''";;
'vanillin glucuronide';Class;'Phenolic glycosides';"''legume food product''	''plant fruit food product''	''vegetable food product''	''coffee based beverage product''	''tea based beverage product''	''cacao food product''	''Whole grain cereal products''	''red wine''	''olive oil''	''nut (whole or part)''";;
'vanillin sulfate';Class;Phenylsulfates;"''plant fruit food product''	''legume food product''	''vegetable food product''	''coffee based beverage product''	''cacao food product''	''tea based beverage product''	''olive oil''	''Whole grain cereal products''	''nut (whole or part)''	''red wine''";;
'(epi)catechin 7-glucuronide';Class;'Flavonoid O-glucuronides';"''cacao food product''	''tea based beverage product''	''red wine''	''nut (whole or part)''	''apple (whole)''	''berry (whole, raw)''";;
'(epi)catechin 5-glucuronide';Class;'Flavonoid O-glucuronides';"''tea based beverage product''	''red wine''	''cacao food product''	''nut (whole or part)''	''apple (whole)''	''berry (whole, raw)''";;
'(epi)catechin 3-glucuronide';Class;'Flavonoid O-glucuronides';"''red wine''	''cacao food product''	''nut (whole or part)''	''tea based beverage product''	''apple (whole)''	''berry (whole, raw)''";;
'(epi)catechin 3'-glucuronide';Class;'Flavonoid O-glucuronides';"''nut (whole or part)''	''red wine''	''tea based beverage product''	''cacao food product''	''apple (whole)''	''berry (whole, raw)''";;
'(epi)catechin 4'-glucuronide';Class;'Flavonoid O-glucuronides';"''berry (whole, raw)''	''red wine''	''nut (whole or part)''	''cacao food product''	''tea based beverage product''	''apple (whole)''";;
'(epi)catechin 7-sulfate';Class;Catechins;"''berry (whole, raw)''	''red wine''	''nut (whole or part)''	''tea based beverage product''	''cacao food product''	''apple (whole)''";;
'(epi)catechin 5-sulfate';Class;Catechins;"''apple (whole)''	''nut (whole or part)''	''berry (whole, raw)''	''cacao food product''	''tea based beverage product''	''red wine''";;
'(epi)catechin 3-sulfate';Class;Catechins;"''apple (whole)''	''berry (whole, raw)''	''tea based beverage product''	''cacao food product''	''nut (whole or part)''	''red wine''";;
'(epi)catechin 3'-sulfate';Class;Catechins;"''cacao food product''	''tea based beverage product''	''apple (whole)''	''nut (whole or part)''	''berry (whole, raw)''	''red wine''";;
'(epi)catechin 4'-sulfate';Class;Catechins;"''cacao food product''	''tea based beverage product''	''red wine''	''apple (whole)''	''nut (whole or part)''	''berry (whole, raw)''";;
4'-methylepicatechin;Class;Catechins;"''tea based beverage product''	''cacao food product''	''nut (whole or part)''	''red wine''	''apple (whole)''	''berry (whole, raw)''";;
3'-methylepicatechin;Class;Catechins;"''tea based beverage product''	''cacao food product''	''red wine''	''nut (whole or part)''	''apple (whole)''	''berry (whole, raw)''";;
epigallocatechin;Class;Epigallocatechins;"''red wine''	''tea based beverage product''	''cacao food product''	''nut (whole or part)''	''apple (whole)''	''berry (whole, raw)''";;
'epigallocatechin 3-glucuronide';Class;Flavonoid-3-O-glucuronides;"''red wine''	''cacao food product''	''tea based beverage product''	''apple (whole)''	''nut (whole or part)''	''berry (whole, raw)''";;
'epigallocatechin 3-sulfate';Class;Flavan-3-ols;"''red wine''	''berry (whole, raw)''	''cacao food product''	''tea based beverage product''	''nut (whole or part)''	''apple (whole)''";;
theaflavin;Class;Flavan-3-ols;"''nut (whole or part)''	''apple (whole)''	''red wine''	''berry (whole, raw)''	''cacao food product''	''tea based beverage product''";;
'4-hydroxy-5-(3',4'-dihydroxyphenyl)-valeric acid';Class;'Medium-chain hydroxy acids and derivatives';"''tea based beverage product''	''cacao food product''	''apple (whole)''	''nut (whole or part)''	''berry (whole, raw)''	''red wine''";;
'4-hydroxy-5-(3',4'-dihydroxyphenyl)-valeric acid 3'-glucuronide';Class;Saccharolipids;"''tea based beverage product''	''cacao food product''	''nut (whole or part)''	''red wine''	''apple (whole)''	''berry (whole, raw)''";;
'4-hydroxy-5-(3',4'-dihydroxyphenyl)-valeric acid 4'-glucuronide';Class;Saccharolipids;"''cacao food product''	''tea based beverage product''	''red wine''	''nut (whole or part)''	''apple (whole)''	''berry (whole, raw)''";;
'4-hydroxy-5-(3',4'-dihydroxyphenyl)-valeric acid 3'-sulfate';Class;'Sulfated fatty acids';"''cacao food product''	''tea based beverage product''	''red wine''	''nut (whole or part)''	''apple (whole)''	''berry (whole, raw)''";;
'4-hydroxy-5-(3',4'-dihydroxyphenyl)-valeric acid 4'-sulfate';Class;Catechols;"''red wine''	''cacao food product''	''tea based beverage product''	''nut (whole or part)''	''apple (whole)''	''berry (whole, raw)''";;
'5-(3'-hydroxyphenyl)-γ-valerolactone 3'-glucuronide';Class;'Phenolic glycosides';"''red wine''	''tea based beverage product''	''cacao food product''	''nut (whole or part)''	''apple (whole)''	''berry (whole, raw)''";;
'5-(3'-hydroxyphenyl)-γ-valerolactone 3'-sulfate';Class;Phenylsulfates;"''red wine''	''tea based beverage product''	''cacao food product''	''nut (whole or part)''	''apple (whole)''	''berry (whole, raw)''";;
'5-(4'-hydroxyphenyl)-γ-valerolactone 4'-sulfate';Class;Phenylsulfates;"''red wine''	''berry (whole, raw)''	''cacao food product''	''tea based beverage product''	''nut (whole or part)''	''apple (whole)''";;
'5-(3',4'-dihydroxyphenyl)-γ-valerolactone';Class;Catechols;"''tea based beverage product''	''nut (whole or part)''	''cacao food product''	''apple (whole)''	''red wine''	''berry (whole, raw)''";;
'5-(3',4'-dihydroxyphenyl)-γ-valerolactone 3'-glucuronide';Class;'Phenol ethers';"''tea based beverage product''	''cacao food product''	''nut (whole or part)''	''berry (whole, raw)''	''red wine''	''apple (whole)''";;
'5-(3',4'-dihydroxyphenyl)-γ-valerolactone 4'-glucuronide';Class;'Phenolic glycosides';"''tea based beverage product''	''cacao food product''	''red wine''	''berry (whole, raw)''	''apple (whole)''	''nut (whole or part)''";;
'5-(3',4'-dihydroxyphenyl)-γ-valerolactone 3'-sulfate';Class;Phenylsulfates;"''tea based beverage product''	''cacao food product''	''apple (whole)''	''red wine''	''nut (whole or part)''	''berry (whole, raw)''";;
'5-(3',5'-dihydroxyphenyl)-γ-valerolactone glucuronide';Class;'Phenolic glycosides';"''cacao food product''	''tea based beverage product''	''apple (whole)''	''nut (whole or part)''	''red wine''	''berry (whole, raw)''";;
'5-(3',5'-dihydroxyphenyl)-γ-valerolactone sulfate';Class;Phenylsulfates;"''cacao food product''	''tea based beverage product''	''nut (whole or part)''	''berry (whole, raw)''	''red wine''	''apple (whole)''";;
'5-(3',4',5'-trihydroxyphenyl)-γ-valerolactone';Class;'Pyrogallols and derivatives';"''cacao food product''	''tea based beverage product''	''red wine''	''berry (whole, raw)''	''nut (whole or part)''	''apple (whole)''";;
'5-(3',4',5'-trihydroxyphenyl)-γ-valerolactone 3'-glucuronide';Class;'Phenolic glycosides';"''tea based beverage product''	''cacao food product''	''berry (whole, raw)''	''apple (whole)''	''red wine''	''nut (whole or part)''";;
'5-(3',4',5'-trihydroxyphenyl)-γ-valerolactone 4'-glucuronide';Class;'Phenolic glycosides';"''berry (whole, raw)''	''apple (whole)''	''nut (whole or part)''	''cacao food product''	''tea based beverage product''	''red wine''";;
'5-(3',4',5'-trihydroxyphenyl)-γ-valerolactone 3'-sulfate';Class;Phenylsulfates;"''red wine''	''berry (whole, raw)''	''apple (whole)''	''cacao food product''	''nut (whole or part)''	''tea based beverage product''";;
'5-(3',4',5'-trihydroxyphenyl)-γ-valerolactone 4'-sulfate';Class;Phenylsulfates;"''apple (whole)''	''nut (whole or part)''	''red wine''	''cacao food product''	''tea based beverage product''	''berry (whole, raw)''";;
'5-(3'-methoxy-4'-hydroxyphenyl)-γ-valerolactone';Class;Methoxyphenols;"''apple (whole)''	''tea based beverage product''	''cacao food product''	''nut (whole or part)''	''red wine''	''berry (whole, raw)''";;
'5-(3'-methoxy-4'-hydroxyphenyl)-γ-valerolactone glucuronide';Class;'Phenolic glycosides';"''nut (whole or part)''	''cacao food product''	''tea based beverage product''	''red wine''	''apple (whole)''	''berry (whole, raw)''";;
'5-(3'-methoxy-4'-hydroxyphenyl)-γ-valerolactone sulfate';Class;Phenylsulfates;"''tea based beverage product''	''cacao food product''	''red wine''	''apple (whole)''	''nut (whole or part)''	''berry (whole, raw)''";;
'naringenin 7-glucuronide';Class;Flavonoid-7-O-glucuronides;"''citrus fruit food product''	''tomato (whole, raw)''";;
hesperetin;Class;'4'-O-methylated flavonoids';"''citrus fruit food product''	''tomato (whole, raw)''";;
'hesperetin 3'-glucuronide';Class;'Flavonoid O-glucuronides';"''citrus fruit food product''	''tomato (whole, raw)''";;
'hesperetin 7-glucuronide';Class;Flavonoid-7-O-glucuronides;"''tomato (whole, raw)''	''citrus fruit food product''";;
'hesperetin 7-sulfate';Class;'4'-O-methylated flavonoids';"''tomato (whole, raw)''	''citrus fruit food product''";;
'bergaptol glucuronide';Class;'Phenolic glycosides';"''grapefruit (whole, raw)''";;
'bergaptol sulfate';Class;5-hydroxypsoralens;"''grapefruit (whole, raw)''";;
'umbelliferone glucuronide';Class;'Coumarin glycosides';"''vegetable food product''	''plant fruit food product''";;
'umbelliferone sulfate';Class;'Coumarins and derivatives';"''vegetable food product''	''plant fruit food product''";;
'daidzein 4'-glucuronide';Class;'Isoflavonoid O-glycosides';"''soybean (whole)''	''legume food product''";;
'daidzein 7-glucuronide';Class;'Isoflavonoid O-glycosides';"''legume food product''	''soybean (whole)''";;
'daidzein diglucuronide';Class;'Isoflavonoid O-glycosides';"''soybean (whole)''	''legume food product''";;
'daidzein 7-glucuronide-4'-sulfate';Class;'Isoflavonoid O-glycosides';"''legume food product''	''soybean (whole)''";;
'daidzein 4'-glucuronide-7-sulfate';Class;'Isoflavonoid O-glycosides';"''soybean (whole)''	''legume food product''";;
'daidzein 4'-sulfate';Class;Isoflavones;"''legume food product''	''soybean (whole)''";;
'genistein 4'-glucuronide';Class;'Isoflavonoid O-glycosides';"''legume food product''	''soybean (whole)''";;
'genistein 7-glucuronide';Class;'Isoflavonoid O-glycosides';"''soybean (whole)''	''legume food product''";;
