"Entity","Superclass(es)","ChemSpider","HMDB","KEGG","PubChemCID","InChIKey","InChICode","FOBI"
"3-hydroxybenzoic acid","Hydroxybenzoic acid derivatives","16308565","HMDB02466","C00587","7420","IJFXRHURBJZNAO-UHFFFAOYSA-N","InChI=1S/C7H6O3/c8-6-3-1-2-5(4-6)7(9)10/h1-4,8H,(H,9,10)","FOBI:030319"
"citric acid","Tricarboxylic acids and derivatives","305","HMDB00094","C00158 | D00037","19782904 | 311 | 88113319","KRKNYBCHXYNGOX-UHFFFAOYSA-N","InChI=1S/C6H8O7/c7-3(8)1-6(13,5(11)12)2-4(9)10/h13H,1-2H2,(H,7,8)(H,9,10)(H,11,12)","FOBI:030631"
"gallic acid","Gallic acids","361","HMDB05807","C01424","370","LNTHITQWFMADLM-UHFFFAOYSA-N","InChI=1S/C7H6O5/c8-4-1-3(7(11)12)2-5(9)6(4)10/h1-2,8-10H,(H,11,12)","FOBI:030352"
"vanillic acid","M-methoxybenzoic acids and derivatives","15694084","HMDB00484","C06672","8468","WKOLLVMJNQIZCI-UHFFFAOYSA-N","InChI=1S/C8H8O4/c1-12-7-4-5(8(10)11)2-3-6(7)9/h2-4,9H,1H3,(H,10,11)","FOBI:030343"
"delphinidin 3-O-beta-D-glucoside","Anthocyanidin-3-O-glycosides","391783",NA,"C12138","443650","XENHPQQLDPAYIJ-PEVLUNPASA-O","InChI=1S/C21H20O12/c22-6-15-17(28)18(29)19(30)21(33-15)32-14-5-9-10(24)3-8(23)4-13(9)31-20(14)7-1-11(25)16(27)12(26)2-7/h1-5,15,17-19,21-22,28-30H,6H2,(H4-,23,24,25,26,27)/p+1/t15-,17-,18+,19-,21-/m1/s1","FOBI:030634"
"malvidin 3-O-beta-D-glucoside","Anthocyanidin-3-O-glycosides","391785",NA,"C12140","443652","PXUQTDZNOHRWLI-OXUVVOBNSA-O","InChI=1S/C23H24O12/c1-31-14-3-9(4-15(32-2)18(14)27)22-16(7-11-12(26)5-10(25)6-13(11)33-22)34-23-21(30)20(29)19(28)17(8-24)35-23/h3-7,17,19-21,23-24,28-30H,8H2,1-2H3,(H2-,25,26,27)/p+1/t17-,19-,20+,21-,23-/m1/s1","FOBI:030635"
"pelargonidin 3-O-beta-D-glucoside","Anthocyanidin-3-O-glycosides","391782",NA,"C12137","443648","ABVCUBUIXWJYSE-GQUPQBGVSA-O","InChI=1S/C21H20O10/c22-8-16-17(26)18(27)19(28)21(31-16)30-15-7-12-13(25)5-11(24)6-14(12)29-20(15)9-1-3-10(23)4-2-9/h1-7,16-19,21-22,26-28H,8H2,(H2-,23,24,25)/p+1/t16-,17-,18+,19-,21-/m1/s1","FOBI:030636"
"saccharin","Benzothiazoles","10685695",NA,"C12283","5143","CVHZOJJKTDOEJC-UHFFFAOYSA-N","InChI=1S/C7H5NO3S/c9-7-5-3-1-2-4-6(5)12(10,11)8-7/h1-4H,(H,8,9)","FOBI:030626"
"sucralose","C-glycosyl compounds","64561",NA,"C12285","71485","BAQAVOSOZGMPRM-QBMZZYIRSA-N","InChI=1S/C12H19Cl3O8/c13-1-4-7(17)10(20)12(3-14,22-4)23-11-9(19)8(18)6(15)5(2-16)21-11/h4-11,16-20H,1-3H2/t4-,5-,6+,7-,8+,9-,10+,11-,12+/m1/s1","FOBI:030627"
"trans-3-coumaric acid","Hydroxycinnamic acids","553147","HMDB01713","C12621","637541","KKSDGJDHHZEWEP-SNAWJCMRSA-N","InChI=1S/C9H8O3/c10-8-3-1-2-7(6-8)4-5-9(11)12/h1-6,10H,(H,11,12)/b5-4+","FOBI:030384"
"heptadecanoic acid","Long-chain fatty acids",NA,"HMDB02259",NA,"10465","KEMQGTRYUADPNZ-UHFFFAOYSA-N","InChI=1S/C17H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17(18)19/h2-16H2,1H3,(H,18,19)","FOBI:030739"
"trans-4-coumaric acid","Hydroxycinnamic acids","553148","HMDB02035","C00811","637542","NGSWKAQJJWESNS-ZZXKWVIFSA-N","InChI=1S/C9H8O3/c10-8-4-1-7(2-5-8)3-6-9(11)12/h1-6,10H,(H,11,12)/b6-3+","FOBI:030385"
"5-acetamido-6-formamido-3-methyluracil","Hydroxypyrimidines","97287","HMDB11105","C16365","108214","RDZNZFGKEVDNPK-UHFFFAOYSA-N","InChI=1S/C8H10N4O4/c1-4(14)10-5-6(9-3-13)11-8(16)12(2)7(5)15/h3H,1-2H3,(H,9,13)(H,10,14)(H,11,16)","FOBI:030667"
"9-cis,11-trans-octadecadienoic acid","Lineolic acids and derivatives","4444245","HMDB03797","C04056","5280644","JBYXPOFIGCOSSB-GOJKSUSPSA-N","InChI=1S/C18H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h7-10H,2-6,11-17H2,1H3,(H,19,20)/b8-7+,10-9-","FOBI:08826"
"phloretic acid","Phenylpropanoic acids",NA,"HMDB02199","C01744","10394","NMHMNPHRMNGLLB-UHFFFAOYSA-N","InChI=1S/C9H10O3/c10-8-4-1-7(2-5-8)3-6-9(11)12/h1-2,4-5,10H,3,6H2,(H,11,12)","FOBI:030416"
"equol","Isoflavanols","82594","HMDB02209","C14131","91469","ADFCQWZHKCXPAJ-GFCCVEGCSA-N","InChI=1S/C15H14O3/c16-13-4-1-10(2-5-13)12-7-11-3-6-14(17)8-15(11)18-9-12/h1-6,8,12,16-17H,7,9H2/t12-/m1/s1","FOBI:030544"
"(6R)-beta,epsilon-carotene","Carotenes","4925358",NA,NA,"6419725","ANVAOWXLWRTKGA-NTXLUARGSA-N","InChI=1S/C40H56/c1-31(19-13-21-33(3)25-27-37-35(5)23-15-29-39(37,7)8)17-11-12-18-32(2)20-14-22-34(4)26-28-38-36(6)24-16-30-40(38,9)10/h11-14,17-23,25-28,37H,15-16,24,29-30H2,1-10H3/b12-11+,19-13+,20-14+,27-25+,28-26+,31-17+,32-18+,33-21+,34-22+/t37-/m0/s1","FOBI:030746"
"L-proline betaine","Proline and derivatives",NA,"HMDB04827","C10172","115244","CMUNUTVVOOHQPW-LURJTMIESA-N","InChI=1S/C7H13NO2/c1-8(2)5-3-4-6(8)7(9)10/h6H,3-5H2,1-2H3/t6-/m0/s1","FOBI:030685"
"cis-resveratrol","Stilbenes","1265933",NA,NA,"1548910","LUKBXSAWLPMMSZ-UPHRSURJSA-N","InChI=1S/C14H12O3/c15-12-5-3-10(4-6-12)1-2-11-7-13(16)9-14(17)8-11/h1-9,15-17H/b2-1-","FOBI:030591"
"vaccenic acid","Long-chain fatty acids","4444571",NA,"C08367","5281127","UWHZIFQPPBDJPM-BQYQJAHWSA-N","InChI=1S/C18H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h7-8H,2-6,9-17H2,1H3,(H,19,20)/b8-7+","FOBI:08825"
"3,5-dihydroxybenzoic acid","Hydroxybenzoic acid derivatives",NA,"HMDB13173",NA,"7424","UYEMGAFJOZZIFP-UHFFFAOYSA-N","InChI=1S/C7H6O4/c8-5-1-4(7(10)11)2-6(9)3-5/h1-3,8-9H,(H,10,11)","FOBI:030330"
"2-(2-carboxyethyl)-4-methyl-5-propylfuran-3-carboxylic acid","Furanoid fatty acids",NA,NA,NA,"123979","WMCQWXZMVIETAO-UHFFFAOYSA-N","InChI=1S/C12H16O5/c1-3-4-8-7(2)11(12(15)16)9(17-8)5-6-10(13)14/h3-6H2,1-2H3,(H,13,14)(H,15,16)","FOBI:030651"
"indoxyl sulfate","Arylsulfates",NA,"HMDB00682",NA,"10258","BXFFHSIDQOFMLE-UHFFFAOYSA-N","InChI=1S/C8H7NO4S/c10-14(11,12)13-8-5-9-7-4-2-1-3-6(7)8/h1-5,9H,(H,10,11,12)","FOBI:030702"
"L-rhamnitol","Hexoses","392801",NA,NA,"445052","SKCKOFZKJLZSFA-BXKVDMCESA-N","InChI=1S/C6H14O5/c1-3(8)5(10)6(11)4(9)2-7/h3-11H,2H2,1H3/t3-,4-,5-,6-/m0/s1","FOBI:030756"
"S-methylcysteine","Cysteine and derivatives",NA,"HMDB02108",NA,"24417 | 7058174","IDIDJDIHTAOVLG-VKHMYHEASA-N","InChI=1S/C4H9NO2S/c1-8-2-3(5)4(6)7/h3H,2,5H2,1H3,(H,6,7)/t3-/m0/s1","FOBI:030678"
"dihydroresveratrol","Stilbenes",NA,NA,"C10255","185914","HITJFUSPLYBJPE-UHFFFAOYSA-N","InChI=1S/C14H14O3/c15-12-5-3-10(4-6-12)1-2-11-7-13(16)9-14(17)8-11/h3-9,15-17H,1-2H2","FOBI:030600"
"(-)-epigallocatechin 3-gallate","Catechin gallates","58575","HMDB03153","C09731","65064","WMBWREPUVVBILR-WIYYLYMNSA-N","InChI=1S/C22H18O11/c23-10-5-12(24)11-7-18(33-22(31)9-3-15(27)20(30)16(28)4-9)21(32-17(11)6-10)8-1-13(25)19(29)14(26)2-8/h1-6,18,21,23-30H,7H2/t18-,21-/m1/s1","FOBI:030489"
"ergothioneine","Histidine and derivatives","4508619","HMDB03045",NA,"5351619 | 57509571","SSISHJJTAXXQAX-ZETCQYMHSA-N","InChI=1S/C9H15N3O2S/c1-12(2,3)7(8(13)14)4-6-5-10-9(15)11-6/h5,7H,4H2,1-3H3,(H2-,10,11,13,14,15)/t7-/m0/s1","FOBI:030684"
"3-(3,4-dihydroxyphenyl)propanoic acid","Phenylpropanoic acids","308986","HMDB00423","C10447","348154","DZAUWHJDUNRCTF-UHFFFAOYSA-N","InChI=1S/C9H10O4/c10-7-3-1-6(5-8(7)11)2-4-9(12)13/h1,3,5,10-11H,2,4H2,(H,12,13)","FOBI:030422"
"7-methylxanthine","Xanthines","61660","HMDB01991","C16353","68374","PFWLFWPASULGAN-UHFFFAOYSA-N","InChI=1S/C6H6N4O2/c1-10-2-7-4-3(10)5(11)9-6(12)8-4/h2H,1H3,(H2,8,9,11,12)","FOBI:030654"
"3,4-dihydroxybenzaldehyde","Benzaldehydes",NA,NA,"C16700","8768","IBGBGRVKPALMCQ-UHFFFAOYSA-N","InChI=1S/C7H6O3/c8-4-5-1-2-6(9)7(10)3-5/h1-4,9-10H","FOBI:030455"
"N(tele)-methyl-L-histidine","Histidine and derivatives","83153","HMDB00001",NA,"7020397 | 92105","BRMWTNUJHUMWMS-LURJTMIESA-N","InChI=1S/C7H11N3O2/c1-10-3-5(9-4-10)2-6(8)7(11)12/h3-4,6H,2,8H2,1H3,(H,11,12)/t6-/m0/s1","FOBI:030689"
"homovanillic acid","Methoxyphenols",NA,"HMDB00118","C05582","1738","QRMZSPFSDQBLIX-UHFFFAOYSA-N","InChI=1S/C9H10O4/c1-13-8-4-6(5-9(11)12)2-3-7(8)10/h2-4,10H,5H2,1H3,(H,11,12)","FOBI:030380"
"O-acetyl-L-carnitine","Acyl carnitines","5406074",NA,NA,"7045767","RDHQFKQIGNGIED-MRVPVSSYSA-N","InChI=1S/C9H17NO4/c1-7(11)14-8(5-9(12)13)6-10(2,3)4/h8H,5-6H2,1-4H3/t8-/m1/s1","FOBI:030707"
"Isochlorogenic acid b","Quinic acids and derivatives","4445093",NA,"C10468","5281780","UFCLZKMFXSILNL-PSEXTPKNSA-N","InChI=1S/C25H24O12/c26-15-5-1-13(9-17(15)28)3-7-21(31)36-20-12-25(35,24(33)34)11-19(30)23(20)37-22(32)8-4-14-2-6-16(27)18(29)10-14/h1-10,19-20,23,26-30,35H,11-12H2,(H,33,34)/b7-3+,8-4+/t19-,20-,23-,25+/m1/s1","FOBI:030400"
"isorhamnetin","Flavonols","4444973","HMDB02655","C10084","5281654","IZQSVPBOUDKVDZ-UHFFFAOYSA-N","InChI=1S/C16H12O7/c1-22-11-4-7(2-3-9(11)18)16-15(21)14(20)13-10(19)5-8(17)6-12(13)23-16/h2-6,17-19,21H,1H3","FOBI:030562"
"3-methyl-9H-xanthine","Xanthines","11181189 | 63805","HMDB01886","C16357","70639","GMSNIKWWOQHZGF-UHFFFAOYSA-N","InChI=1S/C6H6N4O2/c1-10-4-3(7-2-8-4)5(11)9-6(10)12/h2H,1H3,(H,7,8)(H,9,11,12)","FOBI:030653"
"DIBOA","Benzoxazinones","26511",NA,"C15770","28495","COVOPZQGJGUPEY-UHFFFAOYSA-N","InChI=1S/C8H7NO4/c10-7-8(11)13-6-4-2-1-3-5(6)9(7)12/h1-4,8,11-12H","FOBI:030732"
"HBOA","Benzoxazinones","285673",NA,"C15769","322636","VMQBFYRBJKDACN-UHFFFAOYSA-N","InChI=1S/C8H7NO3/c10-7-8(11)12-6-4-2-1-3-5(6)9-7/h1-4,8,11H,(H,9,10)","FOBI:030726"
"3-hydroxy-4-methoxybenzoic acid","P-methoxybenzoic acids and derivatives",NA,NA,NA,"12575","LBKFGYZQBSGRHY-UHFFFAOYSA-N","InChI=1S/C8H8O4/c1-12-7-3-2-5(8(10)11)4-6(7)9/h2-4,9H,1H3,(H,10,11","FOBI:030346"
"3-(3-sulfooxyphenyl)propanoic acid","Phenylsulfates",NA,NA,NA,"187488","IQWLPDPKVFZEOK-UHFFFAOYSA-N","InChI=1S/C9H10O6S/c10-9(11)5-4-7-2-1-3-8(6-7)15-16(12,13)14/h1-3,6H,4-5H2,(H,10,11)(H,12,13,14)","FOBI:08681"
"malic acid","Beta hydroxy acids and derivatives","14080972 | 510","HMDB00744","C00711 | C03668 | D04843","20130941 | 525","BJEPYKJPYRNKOW-UHFFFAOYSA-N","InChI=1S/C4H6O5/c5-2(4(8)9)1-3(6)7/h2,5H,1H2,(H,6,7)(H,8,9)","FOBI:030632"
"maslinic acid","Triterpenoids","66312","HMDB02392","C16939","73659","MDZKJHQSJHYOHJ-LLICELPBSA-N","InChI=1S/C30H48O4/c1-25(2)12-14-30(24(33)34)15-13-28(6)18(19(30)16-25)8-9-22-27(5)17-20(31)23(32)26(3,4)21(27)10-11-29(22,28)7/h8,19-23,31-32H,9-17H2,1-7H3,(H,33,34)/t19-,20+,21-,22+,23-,27-,28+,29+,30-/m0/s1","FOBI:030753"
"syringic acid","Gallic acid and derivatives",NA,"HMDB02085","C10833","10742","JMSVCTWVEWCHDZ-UHFFFAOYSA-N","InChI=1S/C9H10O5/c1-13-6-3-5(9(11)12)4-7(14-2)8(6)10/h3-4,10H,1-2H3,(H,11,12)","FOBI:030349"
"1-methyluric acid","Xanthines","62926","HMDB03099","C16359","69726","QFDRTQONISXGJA-UHFFFAOYSA-N","InChI=1S/C6H6N4O3/c1-10-4(11)2-3(9-6(10)13)8-5(12)7-2/h1H3,(H,9,13)(H2,7,8,12)","FOBI:030659"
"1-methyl-7H-xanthine","Xanthines","72464","HMDB10738","C16358","80220","MVOYJPOZRLFTCP-UHFFFAOYSA-N","InChI=1S/C6H6N4O2/c1-10-5(11)3-4(8-2-7-3)9-6(10)12/h2H,1H3,(H,7,8)(H,9,12)","FOBI:030652"
"1,3-dimethyluric acid","Xanthines","63527","HMDB01857",NA,"70346","OTSBKHHWSQYEHK-UHFFFAOYSA-N","InChI=1S/C7H8N4O3/c1-10-4-3(8-6(13)9-4)5(12)11(2)7(10)14/h1-2H3,(H2,8,9,13)","FOBI:030662"
"1,7-dimethyluric acid","Xanthines","82720","HMDB11103","C16356","91611","NOFNCLGCUJJPKU-UHFFFAOYSA-N","InChI=1S/C7H8N4O3/c1-10-3-4(8-6(10)13)9-7(14)11(2)5(3)12/h1-2H3,(H,8,13)(H,9,14)","FOBI:030663"
"2,6-dihydroxybenzoic acid","Salicylic acids",NA,NA,NA,"9338","AKEUNCKRJATALU-UHFFFAOYSA-N","InChI=1S/C7H6O4/c8-4-2-1-3-5(9)6(4)7(10)11/h1-3,8-9H,(H,10,11)","FOBI:030328"
"pyrocatechol sulfate","Phenylsulfates","2341024",NA,NA,"3083879","MZPWKJZDOCIALD-UHFFFAOYSA-N","InChI=1S/C6H6O5S/c7-5-3-1-2-4-6(5)11-12(8,9)10/h1-4,7H,(H,8,9,10)","FOBI:030446"
"3,7-dimethyluric acid","Xanthines","74994","HMDB01982","C16360","83126","HMLZLHKHNBLLJD-UHFFFAOYSA-N","InChI=1S/C7H8N4O3/c1-10-3-4(8-6(10)13)11(2)7(14)9-5(3)12/h1-2H3,(H,8,13)(H,9,12,14)","FOBI:030664"
"hydroxytyrosol","Tyrosols","74680","HMDB05784",NA,"82755","JUUBCHWRXWPFFH-UHFFFAOYSA-N","InChI=1S/C8H10O3/c9-4-3-6-1-2-7(10)8(11)5-6/h1-2,5,9-11H,3-4H2","FOBI:030582"
"1,3,7-trimethyluric acid","Xanthines","71754","HMDB02123","C16361","79437","BYXCFUMGEBZDDI-UHFFFAOYSA-N","InChI=1S/C8H10N4O3/c1-10-4-5(9-7(10)14)11(2)8(15)12(3)6(4)13/h1-3H3,(H,9,14)","FOBI:030665"
"cyclo(L-Pro-L-Val)","Alpha amino acids and derivatives","5360404",NA,NA,"6992261","XLUAWXQORJEMBD-YUMQZZPRSA-N","InChI=1S/C10H16N2O2/c1-6(2)8-10(14)12-5-3-4-7(12)9(13)11-8/h6-8H,3-5H2,1-2H3,(H,11,13)/t7-,8-/m0/s1","FOBI:030669"
"m-hydroxyhippuric acid","Hippuric acids",NA,"HMDB06116",NA,"450268","XDOFWFNMYJRHEW-UHFFFAOYSA-N","InChI=1S/C9H9NO4/c11-7-3-1-2-6(4-7)9(14)10-5-8(12)13/h1-4,11H,5H2,(H,10,14)(H,12,13)","FOBI:030342"
"p-hydroxyhippuric acid","Hippuric acids","133104",NA,NA,"151012","ZMHLUFWWWPBTIU-UHFFFAOYSA-N","InChI=1S/C9H9NO4/c11-7-3-1-6(2-4-7)9(14)10-5-8(12)13/h1-4,11H,5H2,(H,10,14)(H,12,13)","FOBI:030341"
"1-salicylate glucuronide","Phenolic glycosides","2341148","HMDB10313",NA,"3084023","JSCWDKKMLIQCMR-CDHFTJPESA-N","InChI=1S/C13H14O9/c14-7-8(15)10(12(19)20)22-13(9(7)16)21-6-4-2-1-3-5(6)11(17)18/h1-4,7-10,13-16H,(H,17,18)(H,19,20)/t7-,8-,9+,10-,13+/m0/s1","FOBI:030321"
"S-allylcysteine","Cysteine and derivatives",NA,NA,"C16759","40424388 | 9793905","ZFAHNWWNDFHPOH-YFKPBYRVSA-N","InChI=1S/C6H11NO2S/c1-2-3-10-4-5(7)6(8)9/h2,5H,1,3-4,7H2,(H,8,9)/t5-/m0/s1","FOBI:030676"
"procyanidin B2","Biflavonoids and polyflavonoids",NA,NA,"C17639","122738","XFZJEEAOWLFHDH-NFJBMHMQSA-N","InChI=1S/C30H26O12/c31-13-7-20(37)24-23(8-13)41-29(12-2-4-16(33)19(36)6-12)27(40)26(24)25-21(38)10-17(34)14-9-22(39)28(42-30(14)25)11-1-3-15(32)18(35)5-11/h1-8,10,22,26-29,31-40H,9H2/t22-,26-,27-,28-,29-/m1/s1","FOBI:030490"
"kaempferol 3-O-glucuronide","Flavonoid-3-O-glucuronides","4477252",NA,NA,"5318759","FNTJVYCFNVUBOL-ZUGPOPFOSA-N","InChI=1S/C21H18O12/c22-8-3-1-7(2-4-8)17-18(13(25)12-10(24)5-9(23)6-11(12)31-17)32-21-16(28)14(26)15(27)19(33-21)20(29)30/h1-6,14-16,19,21-24,26-28H,(H,29,30)/t14-,15-,16+,19-,21+/m0/s1","FOBI:030566"
"luteolin 3-O-glucuronide","Flavonoid O-glucuronides","8429271",NA,NA,"10253785","JDOFZOKGCYYUER-ZFORQUDYSA-N","InChI=1S/C21H18O12/c22-8-4-10(24)15-11(25)6-12(31-14(15)5-8)7-1-2-9(23)13(3-7)32-21-18(28)16(26)17(27)19(33-21)20(29)30/h1-6,16-19,21-24,26-28H,(H,29,30)/t16-,17-,18+,19-,21+/m0/s1","FOBI:030556"
"(+)-epicatechin-3-O-gallate","Catechin gallates","58567",NA,NA,"65056","LSHVYAFMTMFKBA-FPOVZHCZSA-N","InChI=1S/C22H18O10/c23-11-6-14(25)12-8-19(32-22(30)10-4-16(27)20(29)17(28)5-10)21(31-18(12)7-11)9-1-2-13(24)15(26)3-9/h1-7,19,21,23-29H,8H2/t19-,21-/m0/s1","FOBI:030485"
"sinapic acid","Hydroxycinnamic acids","553361",NA,"C00482","637775","PCMORTLOPMLEFB-ONEGZZNKSA-N","InChI=1S/C11H12O5/c1-15-8-5-7(3-4-10(12)13)6-9(16-2)11(8)14/h3-6,14H,1-2H3,(H,12,13)/b4-3+","FOBI:030412"
"DIBOA-glucoside","O-glycosyl compounds","4475737",NA,"C15772","5316752","OUSLYTBGQGKTME-BJPDSMLBSA-N","InChI=1S/C14H17NO9/c16-5-8-9(17)10(18)11(19)13(23-8)24-14-12(20)15(21)6-3-1-2-4-7(6)22-14/h1-4,8-11,13-14,16-19,21H,5H2/t8-,9-,10+,11-,13+,14?/m1/s1","FOBI:030733"
"Enterodiol","Dibenzylbutanediol lignans",NA,"HMDB05056","C18166","115089","DWONJCNDULPHLV-HOTGVXAUSA-N","InChI=1S/C18H22O4/c19-11-15(7-13-3-1-5-17(21)9-13)16(12-20)8-14-4-2-6-18(22)10-14/h1-6,9-10,15-16,19-22H,7-8,11-12H2/t15-,16-/m0/s1","FOBI:030615"
"trans-piceid","Stilbene glycosides","4445034",NA,"C10275","5281718","HSTZMXCBWJGKHG-CUYWLFDKSA-N","InChI=1S/C20H22O8/c21-10-16-17(24)18(25)19(26)20(28-16)27-15-8-12(7-14(23)9-15)2-1-11-3-5-13(22)6-4-11/h1-9,16-26H,10H2/b2-1+/t16-,17-,18+,19-,20-/m1/s1","FOBI:030605"
"Arsenobetaine","Tetraorganoarsonium salts","43109",NA,"C19331","47364","SPTHHTGLGVZZRH-UHFFFAOYSA-N","InChI=1S/C5H11AsO2/c1-6(2,3)4-5(7)8/h4H2,1-3H3","FOBI:030710"
"N-(2-furoyl)glycine","N-acyl-alpha amino acids and derivatives",NA,"HMDB00439",NA,"21863","KSPQDMRTZZYQLM-UHFFFAOYSA-N","InChI=1S/C7H7NO4/c9-6(10)4-8-7(11)5-2-1-3-12-5/h1-3H,4H2,(H,8,11)(H,9,10)","FOBI:030649"
"p-cresol sulfate","Phenylsulfates",NA,"HMDB11635",NA,"4615423","WGNAKZGUSRVWRH-UHFFFAOYSA-N","InChI=1S/C7H8O4S/c1-6-2-4-7(5-3-6)11-12(8,9)10/h2-5H,1H3,(H,8,9,10)","FOBI:030699"
"dihydroresveratrol-3-O-sulfate","Stilbenes",NA,NA,NA,"86583349","KAVKAZLSONPCRU-UHFFFAOYSA-N","InChI=1S/C14H14O6S/c15-12-5-3-10(4-6-12)1-2-11-7-13(16)9-14(8-11)20-21(17,18)19/h3-9,15-16H,1-2H2,(H,17,18,19)","FOBI:030603"
"dihydroresveratrol-3-O-beta-D-glucuronide","Stilbene glycosides",NA,NA,NA,"86583350","NXXGJRZWYCYPCB-HBWRTXEVSA-N","InChI=1S/C20H22O9/c21-12-5-3-10(4-6-12)1-2-11-7-13(22)9-14(8-11)28-20-17(25)15(23)16(24)18(29-20)19(26)27/h3-9,15-18,20-25H,1-2H2,(H,26,27)/t15-,16-,17+,18-,20+/m0/s1","FOBI:030601"
"resveratrol-3-O-sulfate","Stilbenes",NA,NA,NA,"25113755","DULQFFCIVGYOFH-OWOJBTEDSA-N","InChI=1S/C14H12O6S/c15-12-5-3-10(4-6-12)1-2-11-7-13(16)9-14(8-11)20-21(17,18)19/h1-9,15-16H,(H,17,18,19)/b2-1+","FOBI:030596"
"trans-4-hydroxy-L-proline betaine","Proline and derivatives","144333",NA,"C08269","164642","MUNWAHDYFVYIKH-RITPCOANSA-N","InChI=1S/C7H13NO3/c1-8(2)4-5(9)3-6(8)7(10)11/h5-6,9H,3-4H2,1-2H3/t5-,6+/m1/s1","FOBI:030686"
"(-)-epicatechin","Catechins","65230","HMDB01871","C09727","72276","PFTAWBLQPZVEMU-UKRRQHHQSA-N","InChI=1S/C15H14O6/c16-8-4-11(18)9-6-13(20)15(21-14(9)5-8)7-1-2-10(17)12(19)3-7/h1-5,13,15-20H,6H2/t13-,15-/m1/s1","FOBI:030461"
"salicyluric acid","Hippuric acids",NA,"HMDB00840","C07588","10253","ONJSZLXSECQROL-UHFFFAOYSA-N","InChI=1S/C9H9NO4/c11-7-4-2-1-3-6(7)9(14)10-5-8(12)13/h1-4,11H,5H2,(H,10,14)(H,12,13)","FOBI:08827"
"tomatidine","Spirosolanes and derivatives","59019",NA,"C10826","65576","XYNPYHXGMWJBLV-VXPJTDKGSA-N","InChI=1S/C27H45NO2/c1-16-7-12-27(28-15-16)17(2)24-23(30-27)14-22-20-6-5-18-13-19(29)8-10-25(18,3)21(20)9-11-26(22,24)4/h16-24,28-29H,5-15H2,1-4H3/t16-,17-,18-,19-,20+,21-,22-,23-,24-,25-,26-,27-/m0/s1","FOBI:030717"
"3-hydroxybenzoic acid glucuronide","Phenolic glycosides",NA,NA,NA,NA,"ZXNABXFYKZWAPQ-UHFFFAOYSA-N","InChI=1S/C13H14O9/c14-7-8(15)10(12(19)20)22-13(9(7)16)21-6-3-1-2-5(4-6)11(17)18/h1-4,7-10,13-16H,(H,17,18)(H,19,20)","FOBI:030322"
"4-hydroxybenzoic acid glucuronide","Phenolic glycosides",NA,NA,NA,NA,"DKNOHNCMCYDVLT-UHFFFAOYSA-N","InChI=1S/C13H14O9/c14-7-8(15)10(12(19)20)22-13(9(7)16)21-6-3-1-5(2-4-6)11(17)18/h1-4,7-10,13-16H,(H,17,18)(H,19,20)","FOBI:030323"
"2-hydroxybenzoic acid sulfate","Phenylsulfates","8373808",NA,NA,"10198308","MOODSJOROWROTO-UHFFFAOYSA-N","InChI=1S/C7H6O6S/c8-7(9)5-3-1-2-4-6(5)13-14(10,11)12/h1-4H,(H,8,9)(H,10,11,12)","FOBI:030324"
"3-hydroxybenzoic acid sulfate","Phenylsulfates","19994151",NA,NA,"21126437","MZYPOJMKJHCOQG-UHFFFAOYSA-N","InChI=1S/C7H6O6S/c8-7(9)5-2-1-3-6(4-5)13-14(10,11)12/h1-4H,(H,8,9)(H,10,11,12)","FOBI:030325"
"4-hydroxybenzoic acid sulfate","Phenylsulfates",NA,NA,NA,"18690341","RJTYSXVYCZAUHE-UHFFFAOYSA-N","InChI=1S/C7H6O6S/c8-7(9)5-1-3-6(4-2-5)13-14(10,11)12/h1-4H,(H,8,9)(H,10,11,12)","FOBI:030326"
"2,4-dihydroxybenzoic acid","Hydroxybenzoic acid derivatives","1446",NA,NA,"1491","UIAFKZKHHVMJGS-UHFFFAOYSA-N","InChI=1S/C7H6O4/c8-4-1-2-5(7(10)11)6(9)3-4/h1-3,8-9H,(H,10,11)","FOBI:030327"
"3,4-dihydroxybenzoic acid","Hydroxybenzoic acid derivatives","71","HMDB01856","C00230","72","YQUVCSBJEUQKSH-UHFFFAOYSA-N","InChI=1S/C7H6O4/c8-5-2-1-4(7(10)11)3-6(5)9/h1-3,8-9H,(H,10,11)","FOBI:030329"
"3,4-dihydroxybenzoic acid 3-glucuronide","Hydrolyzable tannins",NA,NA,NA,"71316220","CXNFDJSOAJNKSU-CDHFTJPESA-N","InChI=1S/C13H14O10/c14-5-2-1-4(11(18)19)3-6(5)22-13-9(17)7(15)8(16)10(23-13)12(20)21/h1-3,7-10,13-17H,(H,18,19)(H,20,21)/t7-,8-,9+,10-,13+/m0/s1","FOBI:030331"
"3,4-dihydroxybenzoic acid 4-glucuronide","Phenolic glycosides",NA,NA,NA,NA,"NLCBCVGRBFNEJE-CDHFTJPESA-N","InChI=1S/C13H14O10/c14-5-3-4(11(18)19)1-2-6(5)22-13-9(17)7(15)8(16)10(23-13)12(20)21/h1-3,7-10,13-17H,(H,18,19)(H,20,21)/t7-,8-,9+,10-,13+/m0/s1","FOBI:030332"
