Entity;Type;Superclass(es);ChemSpider;HMDB;KEGG;PubChemCID;InChIKey;InChICode;FOBI;rdfs:label;
daidzein;Class;Isoflavones;"'4445025'";"'HMDB03312'";"'C10208'";"'5281708'";"'ZQSIJRDFPHDXIC-UHFFFAOYSA-N'";"'InChI=1S/C15H10O4/c16-10-3-1-9(2-4-10)13-8-19-14-7-11(17)5-6-12(14)15(13)18/h1-8,16-17H'";"'FOBI:030530'";;
'all-cis-5,8,11,14,17-icosapentaenoic acid';Class;'Long-chain fatty acids';;"'HMDB01999'";"'C06428 | D08061'";"'446284'";"'JAZBEHYOTPTENJ-JLNKQSITSA-N'";"'InChI=1S/C20H30O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22/h3-4,6-7,9-10,12-13,15-16H,2,5,8,11,14,17-19H2,1H3,(H,21,22)/b4-3-,7-6-,10-9-,13-12-,16-15-'";"'FOBI:030742'";;
solanidine;Class;'Solanidines and derivatives';"'59150'";"'HMDB03236'";"'C06543'";"'65727'";"'JVKYZPBMZPJNAJ-OQFNDJACSA-N'";"'InChI=1S/C27H43NO/c1-16-5-8-23-17(2)25-24(28(23)15-16)14-22-20-7-6-18-13-19(29)9-11-26(18,3)21(20)10-12-27(22,25)4/h6,16-17,19-25,29H,5,7-15H2,1-4H3/t16-,17+,19-,20+,21-,22-,23+,24-,25-,26-,27-/m0/s1'";"'FOBI:030716'";;
'(2-hydroxyphenyl)acetic acid';Class;'2(hydroxyphenyl)acetic acids';"'14600741'";"'HMDB00669'";"'C05852'";"'11970'";"'CCVYRRGZDBSHFU-UHFFFAOYSA-N'";"'InChI=1S/C8H8O3/c9-7-4-2-1-3-6(7)5-8(10)11/h1-4,9H,5H2,(H,10,11)'";"'FOBI:030368'";;
kaempferol;Class;Flavonols;"'4444395'";"'HMDB05801'";"'C05903'";"'5280863'";"'IYRMWMYZSQPJKC-UHFFFAOYSA-N'";"'InChI=1S/C15H10O6/c16-8-3-1-7(2-4-8)15-14(20)13(19)12-10(18)5-9(17)6-11(12)21-15/h1-6,16-18,20H'";"'FOBI:030565'";;
guaiacol;Class;Methoxyphenols;"'10658433 | 11337764 | 13834869 | 14859414 | 447'";"'HMDB01398'";"'C01502 | C15572 | D00117'";"'460'";"'LHGVFZTZFXWLCP-UHFFFAOYSA-N'";"'InChI=1S/C7H8O2/c1-9-7-5-3-2-4-6(7)8/h2-5,8H,1H3'";"'FOBI:030452'";;
'3-O-methylgallic acid';Class;'Gallic acid and derivatives';;;"'C05616'";"'19829'";"'KWCCUYSXAYTNKA-UHFFFAOYSA-N'";"'InChI=1S/C8H8O5/c1-13-6-3-4(8(11)12)2-5(9)7(6)10/h2-3,9-10H,1H3,(H,11,12)'";"'FOBI:030358'";;
fructose;Class;'C-glycosyl compounds';"'388775'";"'HMDB00660'";"'C02336'";"'439709'";"'RFSUNEUAIZKAJO-ARQDHWQXSA-N'";"'InChI=1S/C6H12O6/c7-1-3-4(9)5(10)6(11,2-8)12-3/h3-5,7-11H,1-2H2/t3-,4-,5+,6-/m1/s1'";"'FOBI:030759'";;
theobromine;Class;Xanthines;"'11181178'";"'HMDB02825'";"'C07480'";"'5429'";"'YAPQBXQYLJRXSA-UHFFFAOYSA-N'";"'InChI=1S/C7H8N4O2/c1-10-3-8-5-4(10)6(12)9-7(13)11(5)2/h3H,1-2H3,(H,9,12,13)'";"'FOBI:030657'";;
'4-hydroxybenzoic acid';Class;'Hydroxybenzoic acid derivatives';"'10732368 | 132 | 15957696'";"'HMDB00500'";"'C00156'";"'135 | 3702506'";"'FJKROLUGYXJWQN-UHFFFAOYSA-N'";"'InChI=1S/C7H6O3/c8-6-3-1-5(2-4-6)7(9)10/h1-4,8H,(H,9,10)'";"'FOBI:030320'";;
'3-hydroxybenzoic acid';Class;'Hydroxybenzoic acid derivatives';"'16308565'";"'HMDB02466'";"'C00587'";"'7420'";"'IJFXRHURBJZNAO-UHFFFAOYSA-N'";"'InChI=1S/C7H6O3/c8-6-3-1-2-5(4-6)7(9)10/h1-4,8H,(H,9,10)'";"'FOBI:030319'";;
'citric acid';Class;'Tricarboxylic acids and derivatives';"'305'";"'HMDB00094'";"'C00158 | D00037'";"'19782904 | 311 | 88113319'";"'KRKNYBCHXYNGOX-UHFFFAOYSA-N'";"'InChI=1S/C6H8O7/c7-3(8)1-6(13,5(11)12)2-4(9)10/h13H,1-2H2,(H,7,8)(H,9,10)(H,11,12)'";"'FOBI:030631'";;
'gallic acid';Class;'Gallic acids';"'361'";"'HMDB05807'";"'C01424'";"'370'";"'LNTHITQWFMADLM-UHFFFAOYSA-N'";"'InChI=1S/C7H6O5/c8-4-1-3(7(11)12)2-5(9)6(4)10/h1-2,8-10H,(H,11,12)'";"'FOBI:030352'";;
'vanillic acid';Class;'M-methoxybenzoic acids and derivatives';"'15694084'";"'HMDB00484'";"'C06672'";"'8468'";"'WKOLLVMJNQIZCI-UHFFFAOYSA-N'";"'InChI=1S/C8H8O4/c1-12-7-4-5(8(10)11)2-3-6(7)9/h2-4,9H,1H3,(H,10,11)'";"'FOBI:030343'";;
'delphinidin 3-O-beta-D-glucoside';Class;Anthocyanidin-3-O-glycosides;"'391783'";;"'C12138'";"'443650'";"'XENHPQQLDPAYIJ-PEVLUNPASA-O'";"'InChI=1S/C21H20O12/c22-6-15-17(28)18(29)19(30)21(33-15)32-14-5-9-10(24)3-8(23)4-13(9)31-20(14)7-1-11(25)16(27)12(26)2-7/h1-5,15,17-19,21-22,28-30H,6H2,(H4-,23,24,25,26,27)/p+1/t15-,17-,18+,19-,21-/m1/s1'";"'FOBI:030634'";;
'malvidin 3-O-beta-D-glucoside';Class;Anthocyanidin-3-O-glycosides;"'391785'";;"'C12140'";"'443652'";"'PXUQTDZNOHRWLI-OXUVVOBNSA-O'";"'InChI=1S/C23H24O12/c1-31-14-3-9(4-15(32-2)18(14)27)22-16(7-11-12(26)5-10(25)6-13(11)33-22)34-23-21(30)20(29)19(28)17(8-24)35-23/h3-7,17,19-21,23-24,28-30H,8H2,1-2H3,(H2-,25,26,27)/p+1/t17-,19-,20+,21-,23-/m1/s1'";"'FOBI:030635'";;
'pelargonidin 3-O-beta-D-glucoside';Class;Anthocyanidin-3-O-glycosides;"'391782'";;"'C12137'";"'443648'";"'ABVCUBUIXWJYSE-GQUPQBGVSA-O'";"'InChI=1S/C21H20O10/c22-8-16-17(26)18(27)19(28)21(31-16)30-15-7-12-13(25)5-11(24)6-14(12)29-20(15)9-1-3-10(23)4-2-9/h1-7,16-19,21-22,26-28H,8H2,(H2-,23,24,25)/p+1/t16-,17-,18+,19-,21-/m1/s1'";"'FOBI:030636'";;
saccharin;Class;Benzothiazoles;"'10685695'";;"'C12283'";"'5143'";"'CVHZOJJKTDOEJC-UHFFFAOYSA-N'";"'InChI=1S/C7H5NO3S/c9-7-5-3-1-2-4-6(5)12(10,11)8-7/h1-4H,(H,8,9)'";"'FOBI:030626'";;
sucralose;Class;'C-glycosyl compounds';"'64561'";;"'C12285'";"'71485'";"'BAQAVOSOZGMPRM-QBMZZYIRSA-N'";"'InChI=1S/C12H19Cl3O8/c13-1-4-7(17)10(20)12(3-14,22-4)23-11-9(19)8(18)6(15)5(2-16)21-11/h4-11,16-20H,1-3H2/t4-,5-,6+,7-,8+,9-,10+,11-,12+/m1/s1'";"'FOBI:030627'";;
'trans-3-coumaric acid';Class;'Hydroxycinnamic acids';"'553147'";"'HMDB01713'";"'C12621'";"'637541'";"'KKSDGJDHHZEWEP-SNAWJCMRSA-N'";"'InChI=1S/C9H8O3/c10-8-3-1-2-7(6-8)4-5-9(11)12/h1-6,10H,(H,11,12)/b5-4+'";"'FOBI:030384'";;
'heptadecanoic acid';Class;'Long-chain fatty acids';;"'HMDB02259'";;"'10465'";"'KEMQGTRYUADPNZ-UHFFFAOYSA-N'";"'InChI=1S/C17H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17(18)19/h2-16H2,1H3,(H,18,19)'";"'FOBI:030739'";;
'trans-4-coumaric acid';Class;'Hydroxycinnamic acids';"'553148'";"'HMDB02035'";"'C00811'";"'637542'";"'NGSWKAQJJWESNS-ZZXKWVIFSA-N'";"'InChI=1S/C9H8O3/c10-8-4-1-7(2-5-8)3-6-9(11)12/h1-6,10H,(H,11,12)/b6-3+'";"'FOBI:030385'";;
5-acetamido-6-formamido-3-methyluracil;Class;Hydroxypyrimidines;"'97287'";"'HMDB11105'";"'C16365'";"'108214'";"'RDZNZFGKEVDNPK-UHFFFAOYSA-N'";"'InChI=1S/C8H10N4O4/c1-4(14)10-5-6(9-3-13)11-8(16)12(2)7(5)15/h3H,1-2H3,(H,9,13)(H,10,14)(H,11,16)'";"'FOBI:030667'";;
'9-cis,11-trans-octadecadienoic acid';Class;'Lineolic acids and derivatives';"'4444245'";"'HMDB03797'";"'C04056'";"'5280644'";"'JBYXPOFIGCOSSB-GOJKSUSPSA-N'";"'InChI=1S/C18H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h7-10H,2-6,11-17H2,1H3,(H,19,20)/b8-7+,10-9-'";"'FOBI:08826'";;
'phloretic acid';Class;'Phenylpropanoic acids';;"'HMDB02199'";"'C01744'";"'10394'";"'NMHMNPHRMNGLLB-UHFFFAOYSA-N'";"'InChI=1S/C9H10O3/c10-8-4-1-7(2-5-8)3-6-9(11)12/h1-2,4-5,10H,3,6H2,(H,11,12)'";"'FOBI:030416'";;
equol;Class;Isoflavanols;"'82594'";"'HMDB02209'";"'C14131'";"'91469'";"'ADFCQWZHKCXPAJ-GFCCVEGCSA-N'";"'InChI=1S/C15H14O3/c16-13-4-1-10(2-5-13)12-7-11-3-6-14(17)8-15(11)18-9-12/h1-6,8,12,16-17H,7,9H2/t12-/m1/s1'";"'FOBI:030544'";;
'(6'R)-beta,epsilon-carotene';Class;Carotenes;"'4925358'";;;"'6419725'";"'ANVAOWXLWRTKGA-NTXLUARGSA-N'";"'InChI=1S/C40H56/c1-31(19-13-21-33(3)25-27-37-35(5)23-15-29-39(37,7)8)17-11-12-18-32(2)20-14-22-34(4)26-28-38-36(6)24-16-30-40(38,9)10/h11-14,17-23,25-28,37H,15-16,24,29-30H2,1-10H3/b12-11+,19-13+,20-14+,27-25+,28-26+,31-17+,32-18+,33-21+,34-22+/t37-/m0/s1'";"'FOBI:030746'";;
'L-proline betaine';Class;'Proline and derivatives';;"'HMDB04827'";"'C10172'";"'115244'";"'CMUNUTVVOOHQPW-LURJTMIESA-N'";"'InChI=1S/C7H13NO2/c1-8(2)5-3-4-6(8)7(9)10/h6H,3-5H2,1-2H3/t6-/m0/s1'";"'FOBI:030685'";;
cis-resveratrol;Class;Stilbenes;"'1265933'";;;"'1548910'";"'LUKBXSAWLPMMSZ-UPHRSURJSA-N'";"'InChI=1S/C14H12O3/c15-12-5-3-10(4-6-12)1-2-11-7-13(16)9-14(17)8-11/h1-9,15-17H/b2-1-'";"'FOBI:030591'";;
'vaccenic acid';Class;'Long-chain fatty acids';"'4444571'";;"'C08367'";"'5281127'";"'UWHZIFQPPBDJPM-BQYQJAHWSA-N'";"'InChI=1S/C18H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h7-8H,2-6,9-17H2,1H3,(H,19,20)/b8-7+'";"'FOBI:08825'";;
'3,5-dihydroxybenzoic acid';Class;'Hydroxybenzoic acid derivatives';;"'HMDB13173'";;"'7424'";"'UYEMGAFJOZZIFP-UHFFFAOYSA-N'";"'InChI=1S/C7H6O4/c8-5-1-4(7(10)11)2-6(9)3-5/h1-3,8-9H,(H,10,11)'";"'FOBI:030330'";;
'2-(2-carboxyethyl)-4-methyl-5-propylfuran-3-carboxylic acid';Class;'Furanoid fatty acids';;;;"'123979'";"'WMCQWXZMVIETAO-UHFFFAOYSA-N'";"'InChI=1S/C12H16O5/c1-3-4-8-7(2)11(12(15)16)9(17-8)5-6-10(13)14/h3-6H2,1-2H3,(H,13,14)(H,15,16)'";"'FOBI:030651'";;
'indoxyl sulfate';Class;Arylsulfates;;"'HMDB00682'";;"'10258'";"'BXFFHSIDQOFMLE-UHFFFAOYSA-N'";"'InChI=1S/C8H7NO4S/c10-14(11,12)13-8-5-9-7-4-2-1-3-6(7)8/h1-5,9H,(H,10,11,12)'";"'FOBI:030702'";;
L-rhamnitol;Class;Hexoses;"'392801'";;;"'445052'";"'SKCKOFZKJLZSFA-BXKVDMCESA-N'";"'InChI=1S/C6H14O5/c1-3(8)5(10)6(11)4(9)2-7/h3-11H,2H2,1H3/t3-,4-,5-,6-/m0/s1'";"'FOBI:030756'";;
S-methylcysteine;Class;'Cysteine and derivatives';;"'HMDB02108'";;"'24417 | 7058174'";"'IDIDJDIHTAOVLG-VKHMYHEASA-N'";"'InChI=1S/C4H9NO2S/c1-8-2-3(5)4(6)7/h3H,2,5H2,1H3,(H,6,7)/t3-/m0/s1'";"'FOBI:030678'";;
dihydroresveratrol;Class;Stilbenes;;;"'C10255'";"'185914'";"'HITJFUSPLYBJPE-UHFFFAOYSA-N'";"'InChI=1S/C14H14O3/c15-12-5-3-10(4-6-12)1-2-11-7-13(16)9-14(17)8-11/h3-9,15-17H,1-2H2'";"'FOBI:030600'";;
'(-)-epigallocatechin 3-gallate';Class;'Catechin gallates';"'58575'";"'HMDB03153'";"'C09731'";"'65064'";"'WMBWREPUVVBILR-WIYYLYMNSA-N'";"'InChI=1S/C22H18O11/c23-10-5-12(24)11-7-18(33-22(31)9-3-15(27)20(30)16(28)4-9)21(32-17(11)6-10)8-1-13(25)19(29)14(26)2-8/h1-6,18,21,23-30H,7H2/t18-,21-/m1/s1'";"'FOBI:030489'";;
ergothioneine;Class;'Histidine and derivatives';"'4508619'";"'HMDB03045'";;"'5351619 | 57509571'";"'SSISHJJTAXXQAX-ZETCQYMHSA-N'";"'InChI=1S/C9H15N3O2S/c1-12(2,3)7(8(13)14)4-6-5-10-9(15)11-6/h5,7H,4H2,1-3H3,(H2-,10,11,13,14,15)/t7-/m0/s1'";"'FOBI:030684'";;
'3-(3,4-dihydroxyphenyl)propanoic acid';Class;'Phenylpropanoic acids';"'308986'";"'HMDB00423'";"'C10447'";"'348154'";"'DZAUWHJDUNRCTF-UHFFFAOYSA-N'";"'InChI=1S/C9H10O4/c10-7-3-1-6(5-8(7)11)2-4-9(12)13/h1,3,5,10-11H,2,4H2,(H,12,13)'";"'FOBI:030422'";;
7-methylxanthine;Class;Xanthines;"'61660'";"'HMDB01991'";"'C16353'";"'68374'";"'PFWLFWPASULGAN-UHFFFAOYSA-N'";"'InChI=1S/C6H6N4O2/c1-10-2-7-4-3(10)5(11)9-6(12)8-4/h2H,1H3,(H2,8,9,11,12)'";"'FOBI:030654'";;
3,4-dihydroxybenzaldehyde;Class;Benzaldehydes;;;"'C16700'";"'8768'";"'IBGBGRVKPALMCQ-UHFFFAOYSA-N'";"'InChI=1S/C7H6O3/c8-4-5-1-2-6(9)7(10)3-5/h1-4,9-10H'";"'FOBI:030455'";;
'N(tele)-methyl-L-histidine';Class;'Histidine and derivatives';"'83153'";"'HMDB00001'";;"'7020397 | 92105'";"'BRMWTNUJHUMWMS-LURJTMIESA-N'";"'InChI=1S/C7H11N3O2/c1-10-3-5(9-4-10)2-6(8)7(11)12/h3-4,6H,2,8H2,1H3,(H,11,12)/t6-/m0/s1'";"'FOBI:030689'";;
'homovanillic acid';Class;Methoxyphenols;;"'HMDB00118'";"'C05582'";"'1738'";"'QRMZSPFSDQBLIX-UHFFFAOYSA-N'";"'InChI=1S/C9H10O4/c1-13-8-4-6(5-9(11)12)2-3-7(8)10/h2-4,10H,5H2,1H3,(H,11,12)'";"'FOBI:030380'";"'homovanillic acid'";
O-acetyl-L-carnitine;Class;'Acyl carnitines';"'5406074'";;;"'7045767'";"'RDHQFKQIGNGIED-MRVPVSSYSA-N'";"'InChI=1S/C9H17NO4/c1-7(11)14-8(5-9(12)13)6-10(2,3)4/h8H,5-6H2,1-4H3/t8-/m1/s1'";"'FOBI:030707'";;
'Isochlorogenic acid b';Class;'Quinic acids and derivatives';"'4445093'";;"'C10468'";"'5281780'";"'UFCLZKMFXSILNL-PSEXTPKNSA-N'";"'InChI=1S/C25H24O12/c26-15-5-1-13(9-17(15)28)3-7-21(31)36-20-12-25(35,24(33)34)11-19(30)23(20)37-22(32)8-4-14-2-6-16(27)18(29)10-14/h1-10,19-20,23,26-30,35H,11-12H2,(H,33,34)/b7-3+,8-4+/t19-,20-,23-,25+/m1/s1'";"'FOBI:030400'";;
isorhamnetin;Class;Flavonols;"'4444973'";"'HMDB02655'";"'C10084'";"'5281654'";"'IZQSVPBOUDKVDZ-UHFFFAOYSA-N'";"'InChI=1S/C16H12O7/c1-22-11-4-7(2-3-9(11)18)16-15(21)14(20)13-10(19)5-8(17)6-12(13)23-16/h2-6,17-19,21H,1H3'";"'FOBI:030562'";"'isorhamnetin'";
3-methyl-9H-xanthine;Class;Xanthines;"'11181189 | 63805'";"'HMDB01886'";"'C16357'";"'70639'";"'GMSNIKWWOQHZGF-UHFFFAOYSA-N'";"'InChI=1S/C6H6N4O2/c1-10-4-3(7-2-8-4)5(11)9-6(10)12/h2H,1H3,(H,7,8)(H,9,11,12)'";"'FOBI:030653'";;
DIBOA;Class;Benzoxazinones;"'26511'";;"'C15770'";"'28495'";"'COVOPZQGJGUPEY-UHFFFAOYSA-N'";"'InChI=1S/C8H7NO4/c10-7-8(11)13-6-4-2-1-3-5(6)9(7)12/h1-4,8,11-12H'";"'FOBI:030732'";;
HBOA;Class;Benzoxazinones;"'285673'";;"'C15769'";"'322636'";"'VMQBFYRBJKDACN-UHFFFAOYSA-N'";"'InChI=1S/C8H7NO3/c10-7-8(11)12-6-4-2-1-3-5(6)9-7/h1-4,8,11H,(H,9,10)'";"'FOBI:030726'";;
'3-hydroxy-4-methoxybenzoic acid';Class;'P-methoxybenzoic acids and derivatives';;;;"'12575'";"'LBKFGYZQBSGRHY-UHFFFAOYSA-N'";"'InChI=1S/C8H8O4/c1-12-7-3-2-5(8(10)11)4-6(7)9/h2-4,9H,1H3,(H,10,11'";"'FOBI:030346'";;
'3-(3-sulfooxyphenyl)propanoic acid';Class;Phenylsulfates;;;;"'187488'";"'IQWLPDPKVFZEOK-UHFFFAOYSA-N'";"'InChI=1S/C9H10O6S/c10-9(11)5-4-7-2-1-3-8(6-7)15-16(12,13)14/h1-3,6H,4-5H2,(H,10,11)(H,12,13,14)'";"'FOBI:08681'";;
'malic acid';Class;'Beta hydroxy acids and derivatives';"'14080972 | 510'";"'HMDB00744'";"'C00711 | C03668 | D04843'";"'20130941 | 525'";"'BJEPYKJPYRNKOW-UHFFFAOYSA-N'";"'InChI=1S/C4H6O5/c5-2(4(8)9)1-3(6)7/h2,5H,1H2,(H,6,7)(H,8,9)'";"'FOBI:030632'";;
'maslinic acid';Class;Triterpenoids;"'66312'";"'HMDB02392'";"'C16939'";"'73659'";"'MDZKJHQSJHYOHJ-LLICELPBSA-N'";"'InChI=1S/C30H48O4/c1-25(2)12-14-30(24(33)34)15-13-28(6)18(19(30)16-25)8-9-22-27(5)17-20(31)23(32)26(3,4)21(27)10-11-29(22,28)7/h8,19-23,31-32H,9-17H2,1-7H3,(H,33,34)/t19-,20+,21-,22+,23-,27-,28+,29+,30-/m0/s1'";"'FOBI:030753'";;
'syringic acid';Class;'Gallic acid and derivatives';;"'HMDB02085'";"'C10833'";"'10742'";"'JMSVCTWVEWCHDZ-UHFFFAOYSA-N'";"'InChI=1S/C9H10O5/c1-13-6-3-5(9(11)12)4-7(14-2)8(6)10/h3-4,10H,1-2H3,(H,11,12)'";"'FOBI:030349'";;
'1-methyluric acid';Class;Xanthines;"'62926'";"'HMDB03099'";"'C16359'";"'69726'";"'QFDRTQONISXGJA-UHFFFAOYSA-N'";"'InChI=1S/C6H6N4O3/c1-10-4(11)2-3(9-6(10)13)8-5(12)7-2/h1H3,(H,9,13)(H2,7,8,12)'";"'FOBI:030659'";;
1-methyl-7H-xanthine;Class;Xanthines;"'72464'";"'HMDB10738'";"'C16358'";"'80220'";"'MVOYJPOZRLFTCP-UHFFFAOYSA-N'";"'InChI=1S/C6H6N4O2/c1-10-5(11)3-4(8-2-7-3)9-6(10)12/h2H,1H3,(H,7,8)(H,9,12)'";"'FOBI:030652'";;
'1,3-dimethyluric acid';Class;Xanthines;"'63527'";"'HMDB01857'";;"'70346'";"'OTSBKHHWSQYEHK-UHFFFAOYSA-N'";"'InChI=1S/C7H8N4O3/c1-10-4-3(8-6(13)9-4)5(12)11(2)7(10)14/h1-2H3,(H2,8,9,13)'";"'FOBI:030662'";;
'1,7-dimethyluric acid';Class;Xanthines;"'82720'";"'HMDB11103'";"'C16356'";"'91611'";"'NOFNCLGCUJJPKU-UHFFFAOYSA-N'";"'InChI=1S/C7H8N4O3/c1-10-3-4(8-6(10)13)9-7(14)11(2)5(3)12/h1-2H3,(H,8,13)(H,9,14)'";"'FOBI:030663'";;
'2,6-dihydroxybenzoic acid';Class;'Salicylic acids';;;;"'9338'";"'AKEUNCKRJATALU-UHFFFAOYSA-N'";"'InChI=1S/C7H6O4/c8-4-2-1-3-5(9)6(4)7(10)11/h1-3,8-9H,(H,10,11)'";"'FOBI:030328'";;
'pyrocatechol sulfate';Class;Phenylsulfates;"'2341024'";;;"'3083879'";"'MZPWKJZDOCIALD-UHFFFAOYSA-N'";"'InChI=1S/C6H6O5S/c7-5-3-1-2-4-6(5)11-12(8,9)10/h1-4,7H,(H,8,9,10)'";"'FOBI:030446'";;
'3,7-dimethyluric acid';Class;Xanthines;"'74994'";"'HMDB01982'";"'C16360'";"'83126'";"'HMLZLHKHNBLLJD-UHFFFAOYSA-N'";"'InChI=1S/C7H8N4O3/c1-10-3-4(8-6(10)13)11(2)7(14)9-5(3)12/h1-2H3,(H,8,13)(H,9,12,14)'";"'FOBI:030664'";;
hydroxytyrosol;Class;Tyrosols;"'74680'";"'HMDB05784'";;"'82755'";"'JUUBCHWRXWPFFH-UHFFFAOYSA-N'";"'InChI=1S/C8H10O3/c9-4-3-6-1-2-7(10)8(11)5-6/h1-2,5,9-11H,3-4H2'";"'FOBI:030582'";;
'1,3,7-trimethyluric acid';Class;Xanthines;"'71754'";"'HMDB02123'";"'C16361'";"'79437'";"'BYXCFUMGEBZDDI-UHFFFAOYSA-N'";"'InChI=1S/C8H10N4O3/c1-10-4-5(9-7(10)14)11(2)8(15)12(3)6(4)13/h1-3H3,(H,9,14)'";"'FOBI:030665'";"'1,3,7-trimethyluric acid'";
'cyclo(L-Pro-L-Val)';Class;'Alpha amino acids and derivatives';"'5360404'";;;"'6992261'";"'XLUAWXQORJEMBD-YUMQZZPRSA-N'";"'InChI=1S/C10H16N2O2/c1-6(2)8-10(14)12-5-3-4-7(12)9(13)11-8/h6-8H,3-5H2,1-2H3,(H,11,13)/t7-,8-/m0/s1'";"'FOBI:030669'";;
'm-hydroxyhippuric acid';Class;'Hippuric acids';;"'HMDB06116'";;"'450268'";"'XDOFWFNMYJRHEW-UHFFFAOYSA-N'";"'InChI=1S/C9H9NO4/c11-7-3-1-2-6(4-7)9(14)10-5-8(12)13/h1-4,11H,5H2,(H,10,14)(H,12,13)'";"'FOBI:030342'";;
'p-hydroxyhippuric acid';Class;'Hippuric acids';"'133104'";;;"'151012'";"'ZMHLUFWWWPBTIU-UHFFFAOYSA-N'";"'InChI=1S/C9H9NO4/c11-7-3-1-6(2-4-7)9(14)10-5-8(12)13/h1-4,11H,5H2,(H,10,14)(H,12,13)'";"'FOBI:030341'";;
'1-salicylate glucuronide';Class;'Phenolic glycosides';"'2341148'";"'HMDB10313'";;"'3084023'";"'JSCWDKKMLIQCMR-CDHFTJPESA-N'";"'InChI=1S/C13H14O9/c14-7-8(15)10(12(19)20)22-13(9(7)16)21-6-4-2-1-3-5(6)11(17)18/h1-4,7-10,13-16H,(H,17,18)(H,19,20)/t7-,8-,9+,10-,13+/m0/s1'";"'FOBI:030321'";;
S-allylcysteine;Class;'Cysteine and derivatives';;;"'C16759'";"'40424388 | 9793905'";"'ZFAHNWWNDFHPOH-YFKPBYRVSA-N'";"'InChI=1S/C6H11NO2S/c1-2-3-10-4-5(7)6(8)9/h2,5H,1,3-4,7H2,(H,8,9)/t5-/m0/s1'";"'FOBI:030676'";;
'procyanidin B2';Class;'Biflavonoids and polyflavonoids';;;"'C17639'";"'122738'";"'XFZJEEAOWLFHDH-NFJBMHMQSA-N'";"'InChI=1S/C30H26O12/c31-13-7-20(37)24-23(8-13)41-29(12-2-4-16(33)19(36)6-12)27(40)26(24)25-21(38)10-17(34)14-9-22(39)28(42-30(14)25)11-1-3-15(32)18(35)5-11/h1-8,10,22,26-29,31-40H,9H2/t22-,26-,27-,28-,29-/m1/s1'";"'FOBI:030490'";;
'kaempferol 3-O-glucuronide';Class;Flavonoid-3-O-glucuronides;"'4477252'";;;"'5318759'";"'FNTJVYCFNVUBOL-ZUGPOPFOSA-N'";"'InChI=1S/C21H18O12/c22-8-3-1-7(2-4-8)17-18(13(25)12-10(24)5-9(23)6-11(12)31-17)32-21-16(28)14(26)15(27)19(33-21)20(29)30/h1-6,14-16,19,21-24,26-28H,(H,29,30)/t14-,15-,16+,19-,21+/m0/s1'";"'FOBI:030566'";;
'luteolin 3'-O-glucuronide';Class;'Flavonoid O-glucuronides';"'8429271'";;;"'10253785'";"'JDOFZOKGCYYUER-ZFORQUDYSA-N'";"'InChI=1S/C21H18O12/c22-8-4-10(24)15-11(25)6-12(31-14(15)5-8)7-1-2-9(23)13(3-7)32-21-18(28)16(26)17(27)19(33-21)20(29)30/h1-6,16-19,21-24,26-28H,(H,29,30)/t16-,17-,18+,19-,21+/m0/s1'";"'FOBI:030556'";;
'(+)-epicatechin-3-O-gallate';Class;'Catechin gallates';"'58567'";;;"'65056'";"'LSHVYAFMTMFKBA-FPOVZHCZSA-N'";"'InChI=1S/C22H18O10/c23-11-6-14(25)12-8-19(32-22(30)10-4-16(27)20(29)17(28)5-10)21(31-18(12)7-11)9-1-2-13(24)15(26)3-9/h1-7,19,21,23-29H,8H2/t19-,21-/m0/s1'";"'FOBI:030485'";;
'sinapic acid';Class;'Hydroxycinnamic acids';"'553361'";;"'C00482'";"'637775'";"'PCMORTLOPMLEFB-ONEGZZNKSA-N'";"'InChI=1S/C11H12O5/c1-15-8-5-7(3-4-10(12)13)6-9(16-2)11(8)14/h3-6,14H,1-2H3,(H,12,13)/b4-3+'";"'FOBI:030412'";"'sinapic acid'";
DIBOA-glucoside;Class;'O-glycosyl compounds';"'4475737'";;"'C15772'";"'5316752'";"'OUSLYTBGQGKTME-BJPDSMLBSA-N'";"'InChI=1S/C14H17NO9/c16-5-8-9(17)10(18)11(19)13(23-8)24-14-12(20)15(21)6-3-1-2-4-7(6)22-14/h1-4,8-11,13-14,16-19,21H,5H2/t8-,9-,10+,11-,13+,14?/m1/s1'";"'FOBI:030733'";;
Enterodiol;Class;'Dibenzylbutanediol lignans';;"'HMDB05056'";"'C18166'";"'115089'";"'DWONJCNDULPHLV-HOTGVXAUSA-N'";"'InChI=1S/C18H22O4/c19-11-15(7-13-3-1-5-17(21)9-13)16(12-20)8-14-4-2-6-18(22)10-14/h1-6,9-10,15-16,19-22H,7-8,11-12H2/t15-,16-/m0/s1'";"'FOBI:030615'";;
